scene_id	sentence_id	start	end	utterance	speaker	utterance_ct	speaker_ct	visual_presence	visual_presence_source	visual_presence_chars	speaker_visual_presence	speaker_visual_ratio	visual_presence_note	annotation_confidence	annotation_review_reason
1	1	12.0	13.12	Are you kidding me?	Chandler	Are you kidding me?! Joey. Joey! Joey! Joey! Joey! Joey! Joey! Joey! Joey! Joey!!	Chandler	absent	char_tracker_stage05		absent	0.0000		medium	speaker_no_face
1	2	15.84	16.32	Joey.	Chandler	Joey	Chandler	absent	char_tracker_stage05		absent	0.0000		medium	speaker_no_face
1	3	17.28	17.76	Joey.	Chandler	Joey	Chandler	absent	char_tracker_stage05		absent	0.0000		medium	speaker_no_face
1	4	18.16	18.64	Joey.	Chandler	Joey	Chandler	absent	char_tracker_stage05		absent	0.0000		medium	speaker_no_face
1	5	18.8	19.28	Joey.	Chandler	Joey	Chandler	absent	char_tracker_stage05		absent	0.0000		medium	speaker_no_face
1	6	19.36	19.8	Joey.	Chandler	Joey	Chandler	absent	char_tracker_stage05		absent	0.0000		medium	speaker_no_face
1	7	19.8	20.28	Joey.	Chandler	Joey	Chandler	absent	char_tracker_stage05		absent	0.0000		medium	speaker_no_face
1	8	20.28	20.72	Joey.	Chandler	Joey	Chandler	absent	char_tracker_stage05		absent	0.0000		medium	speaker_no_face
1	9	20.72	21.2	Joey.	Chandler	Joey	Chandler	absent	char_tracker_stage05		absent	0.0000		medium	speaker_no_face
1	10	21.2	21.76	Joey.	Chandler	Joey	Chandler	absent	char_tracker_stage05		absent	0.0000		medium	speaker_no_face
1	11	21.76	22.24	Joey.	Chandler	Joey	Chandler	absent	char_tracker_stage05		absent	0.0000		medium	speaker_no_face
1	12	23.04	23.52	Joey.	Joey	joey joey	Joey	absent	char_tracker_stage05		absent	0.0000		low	speaker_no_face
1	13	24.16	24.72	Joey.	Joey	joey joey joey	Joey	absent	char_tracker_stage05		absent	0.0000		low	speaker_no_face
1	14	25.28	25.84	Joey.	Joey	joey joey joey joey	Joey	present	char_tracker_stage05	joey	present	1.0000		low	low_speaker_confidence
1	15	26.4	26.8	Joey.	Joey	(joining in, in his sleep) Joey. Joey. Joey. Joey! Joey!!	Joey	present	char_tracker_stage05	joey	present	1.0000		medium	
2	16	44.24	45.12	Did I wake you?	Chandler	Oh. Oh, did-did-did I wake you?	Chandler	present	char_tracker_stage05	chandler	present	1.0000		medium	
4	17	55.85	57.69	Doctor, could I get another cup of coffee, please?	Chandler	Gunther, can I get another cup of coffee, please	Chandler	partial	char_tracker_stage05		partial	0.3333		medium	partial_visual_presence
4	18	61.45	64.17	So, what do you do when you're not working here?	Chandler	Gunther, can I get another cup of coffee, please? (Gunther starts to pour him another cup.) So uh, what do you do when you’re not working here?	Chandler	present	char_tracker_stage05	chandler|monica	present	1.0000		medium	
4	19	64.49	66.13	You don't need to fill these silences.	Gunther	You don’t need to fill these silences.	Gunther	present	char_tracker_stage05	chandler	unobserved			high	
4	20	66.13	70.57	Okay, thanks, Chandler.	Chandler	Oh, okay, thanks. (He goes back to the couch and rejoins Monica, Joey, and Phoebe.)	Chandler	present	char_tracker_stage05	chandler	present	0.8000		medium	
4	21	70.57	72.17	That's like your fourth cup of coffee.	Monica	Chandler, that’s like your fourth cup of coffee!	Monica	partial	char_tracker_stage05		absent	0.0000		medium	speaker_no_face
4	22	72.41	73.61	Okay, do me.	Phoebe	Okay, do me	Phoebe	present	char_tracker_stage05	phoebe	present	1.0000		medium	
4	23	74.33	76.89	I've had a certain number of juices.	Phoebe	Okay, do me. I've had a certain number of juices. (Monica just gleefully smiles at her.)	Phoebe	present	char_tracker_stage05	phoebe	present	1.0000		high	
4	24	79.21	83.53	Well, I'm drinking lots of cups of coffee because I'm exhausted because Joey started snoring.	Chandler	Well, I am drinking lots of cups of coffee because I’m exhausted! Because Joey started snoring!	Chandler	present	char_tracker_stage05	chandler	present	1.0000		high	
4	25	83.53	84.57	He's in a different room.	Monica	He’s in a different room! He’s really that loud?	Monica	present	char_tracker_stage05	chandler|joey|monica	present	1.0000		high	
4	26	84.57	85.65	He's really that loud?	Monica	He's really that loud	Monica	present	char_tracker_stage05	joey|monica	present	1.0000		medium	
4	27	85.89	87.09	Oh, you should hear me.	Joey	(proudly) Oh, you should here me.	Joey	present	char_tracker_stage05	joey|monica	present	1.0000		high	
4	28	88.93	90.41	It's not something to be proud of.	Chandler	It's not something to be proud of, okay	Chandler	present	char_tracker_stage05	chandler	present	1.0000		medium	
