scene_id	sentence_id	start	end	utterance	speaker	speaker_confidence	speaker_method	alignment_score	row_type	filled_from_missing	matched_to_ct	scene_speaker_set	prev_speaker_scene	next_speaker_scene	review_flag	review_reason	notes	utterance_ct	speaker_ct	speaker_original	visual_presence	visual_presence_source	visual_presence_chars	speaker_visual_presence	speaker_visual_ratio	visual_presence_note	annotation_confidence	annotation_review_reason
10	1	1.68	3.28	We are two healthy people.	Monica	high	community_transcript_match	1.0	dialogue	False	True	Monica | Chandler		Monica	False		Speaker agrees with available community-transcript mapping.	I’m with you Chandler! I mean I can’t have sex with a sick person either, that’s disgusting! But I’m not sick! Let me prove it to you. We are two healthy people in the pribe of libe.	Monica	Monica	present	char_tracker_stage05	monica	present	1.0		high	
10	2	3.68	5.76	And the bribe of live.	Monica	medium	visual_disambiguation	0.74	dialogue	True	False	Monica | Chandler	Monica	Chandler	False		Only one of the two text-context candidates was visually present in the window.				present	char_tracker_stage05	monica	present			medium	
10	3	7.92	8.88	See, that's the thing.	Chandler	high	qa_review_resolved_ct_support	1.0	dialogue	False	True	Monica | Chandler	Monica	Chandler	True	speaker_no_face	Speaker agrees with available community-transcript mapping. | QA resolved prior review with community-transcript support.	that's the thing see pribe of mwha ah libe	Chandler	Chandler	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
10	4	8.88	11.08	I would like to stay in the pring mob.	Chandler	high	community_transcript_match	1.0	dialogue	False	True	Monica | Chandler	Chandler	Chandler	False		Speaker agrees with available community-transcript mapping.	That’s the thing, see I would like to stay in the pribe of mwha-ah-libe.	Chandler	Chandler	present	char_tracker_stage05	chandler	present	0.75		high	
10	5	11.08	11.44	Live.	Chandler	medium	scene_context_inference	0.68	dialogue	True	False	Monica | Chandler	Chandler		True	scene_end_short_utterance	Filled from previous same-scene context.				present	char_tracker_stage05	chandler	present			medium	
11	6	18.96	20.64	Oh, okay, Now I'll do it.	Chandler	high	community_transcript_match	1.0	dialogue	False	True	Chandler			False		Speaker agrees with available community-transcript mapping.	(sarcastically) Oh, okay, now I'll do it.	Chandler	Chandler	present	char_tracker_stage05	chandler	present	1.0		high	
12	7	24.88	25.36	Hey.	Rachel	high	qa_review_resolved_ct_support	1.0	dialogue	False	True	Rachel | Phoebe		Phoebe	True	speaker_no_face	Speaker agrees with available community-transcript mapping. | QA resolved prior review with community-transcript support.	Hey!	Rachel	Rachel	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
12	8	26.33	26.49	Hey.	Phoebe	high	qa_review_resolved_ct_support	1.0	dialogue	False	True	Rachel | Phoebe	Rachel	Rachel	True	speaker_no_face	Speaker agrees with available community-transcript mapping. | QA resolved prior review with community-transcript support.	Hey.	Phoebe	Phoebe	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
12	9	26.49	26.97	What's up?	Rachel	high	qa_review_resolved_ct_support	1.0	dialogue	False	True	Rachel | Phoebe	Phoebe	Phoebe	True	speaker_no_face	Speaker agrees with available community-transcript mapping. | QA resolved prior review with community-transcript support.	What’s up?!	Rachel	Rachel	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
12	10	27.29	30.73	Um, I think there's something you should maybe know.	Phoebe	high	qa_review_resolved_ct_support	1.0	dialogue	False	True	Rachel | Phoebe	Rachel	Rachel	True	speaker_no_face	Speaker agrees with available community-transcript mapping. | QA resolved prior review with community-transcript support.	Umm, I think there’s something you should maybe know.	Phoebe	Phoebe	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
12	11	30.81	37.05	Well, it better not be about the apartment pants because I just pitched the idea to my boss at Ralph Lauren and she loved it.	Rachel	high	community_transcript_match	1.0	dialogue	False	True	Rachel | Phoebe	Phoebe	Phoebe	False		Speaker agrees with available community-transcript mapping.	Well, it’d better not be about the apartment pants, because I just pitched the idea to my boss at Ralph Lauren and she loved it.	Rachel	Rachel	present	char_tracker_stage05	rachel	present	0.875		high	
12	12	38.81	40.65	No, no, it's just, I was.	Phoebe	high	community_transcript_match	1.0	dialogue	False	True	Rachel | Phoebe	Rachel	Phoebe	False		Speaker agrees with available community-transcript mapping.	no no it's just i was umm	Phoebe	Phoebe	present	char_tracker_stage05	phoebe	present	1.0		high	
12	13	41.29	46.97	I was with Ross and Jill after you left and I'm pretty sure I saw a little spark between them.	Phoebe	high	community_transcript_match	1.0	dialogue	False	True	Rachel | Phoebe	Phoebe	Rachel	False		Speaker agrees with available community-transcript mapping.	No. No. It’s just I was umm, I was with Ross and Jill after you left and umm, I’m pretty sure I saw a little spark between them.	Phoebe	Phoebe	present	char_tracker_stage05	phoebe	present	1.0		high	
12	14	47.61	48.01	What?	Rachel	high	community_transcript_match	1.0	dialogue	False	True	Rachel | Phoebe	Phoebe	Phoebe	False		Speaker agrees with available community-transcript mapping.	What?!	Rachel	Rachel	present	char_tracker_stage05	phoebe|rachel	present	1.0		high	
12	15	48.49	50.01	Yeah, I mean, it's probably nothing.	Phoebe	high	qa_review_resolved_ct_support	1.0	dialogue	False	True	Rachel | Phoebe	Rachel	Phoebe	True	speaker_offscreen	Speaker agrees with available community-transcript mapping. | QA resolved prior review with community-transcript support.	yeah i mean it's probably nothing	Phoebe	Phoebe	present	char_tracker_stage05	rachel	absent	0.3333		low	speaker_offscreen
12	16	50.25	53.53	But I just wanted to warn you that there might be something there.	Phoebe	high	community_transcript_match	1.0	dialogue	False	True	Rachel | Phoebe	Phoebe	Rachel	False		Speaker agrees with available community-transcript mapping.	Yeah I mean it’s probably nothing, but I just wanted to warn you that there might be something there.	Phoebe	Phoebe	present	char_tracker_stage05	phoebe	present	1.0		high	
12	17	53.93	55.05	With Ross and Jill?	Rachel	high	community_transcript_match	1.0	dialogue	False	True	Rachel | Phoebe	Phoebe	Phoebe	False		Speaker agrees with available community-transcript mapping.	With Ross and Jill?	Rachel	Rachel	present	char_tracker_stage05	phoebe|rachel	present	1.0		high	
12	18	55.13	55.61	Yeah.	Phoebe	high	community_transcript_match	1.0	dialogue	False	True	Rachel | Phoebe	Rachel	Rachel	False		Speaker agrees with available community-transcript mapping.	Yeah!	Phoebe	Phoebe	present	char_tracker_stage05	phoebe|rachel	present	1.0		high	
12	19	56.33	57.61	With Ross and my sister?	Rachel	high	community_transcript_match	1.0	dialogue	False	True	Rachel | Phoebe	Phoebe	Phoebe	False		Speaker agrees with available community-transcript mapping.	With Ross and my sister?	Rachel	Rachel	present	char_tracker_stage05	rachel	present	1.0		high	
12	20	60.33	61.05	Yeah.	Phoebe	high	community_transcript_match	1.0	dialogue	False	True	Rachel | Phoebe	Rachel	Rachel	False		Speaker agrees with available community-transcript mapping.	Yeah.	Phoebe	Phoebe	present	char_tracker_stage05	phoebe|rachel	present	1.0		high	
12	21	61.21	63.45	With my sister Jill and my ex boyfriend, Ross?	Rachel	high	community_transcript_match	1.0	dialogue	False	True	Rachel | Phoebe	Phoebe	Phoebe	False		Speaker agrees with available community-transcript mapping.	With my sister Jill and my ex-boyfriend Ross?	Rachel	Rachel	present	char_tracker_stage05	rachel	present	1.0		high	
12	22	65.29	65.77	Yeah.	Phoebe	high	community_transcript_match	1.0	dialogue	False	True	Rachel | Phoebe	Rachel	Rachel	False		Speaker agrees with available community-transcript mapping.	Yeah.	Phoebe	Phoebe	present	char_tracker_stage05	phoebe	present	1.0		high	
12	23	66.25	67.77	Oh, there is no way.	Rachel	high	qa_review_resolved_ct_support	1.0	dialogue	False	True	Rachel | Phoebe	Phoebe	Phoebe	True	speaker_offscreen	Speaker agrees with available community-transcript mapping. | QA resolved prior review with community-transcript support.	Oh there is no way.	Rachel	Rachel	present	char_tracker_stage05	phoebe	absent	0.0		low	speaker_offscreen
12	24	68.09	68.97	Okay, then.	Phoebe	high	community_transcript_match	1.0	dialogue	False	True	Rachel | Phoebe	Rachel	Rachel	False		Speaker agrees with available community-transcript mapping.	Okay then.	Phoebe	Phoebe	present	char_tracker_stage05	phoebe	present	1.0		high	
12	25	68.97	71.77	Oh, my God, I cannot believe that.	Rachel	high	community_transcript_match	1.0	dialogue	False	True	Rachel | Phoebe	Phoebe	Rachel	False		Speaker agrees with available community-transcript mapping.	I can not believe that	Rachel	Rachel	present	char_tracker_stage05	rachel	present	0.75		high	
12	26	72.33	75.53	I mean, I don't really like it when Ross goes out with anyone but my sister.	Rachel	high	community_transcript_match	1.0	dialogue	False	True	Rachel | Phoebe	Rachel	Rachel	False		Speaker agrees with available community-transcript mapping.	Oh my God! I can not believe that! I mean I don’t really like it when Ross goes out with anyone, but my sister isn’t that like incest or something?! Oh my God, and they’re gonna have sex! Oh! Oh no what if he marries her too?! Oh this is just terrible, this is just terrible. And I can’t stop it! I can’t—I don’t own Ross! Y’know? And Jill, she should be able to do whatever it is that she wants to do! And oh my God, I can’t believe Ross is marrying my little sister, this terrible. Oh my God, this is just the worst thing that could have ever happened to me.	Rachel	Rachel	present	char_tracker_stage05	rachel	present	0.5		high	
12	27	75.53	77.45	Isn't that like incest or something?	Rachel	medium	visual_disambiguation	0.74	dialogue	True	False	Rachel | Phoebe	Rachel	Phoebe	False		Only one of the two text-context candidates was visually present in the window.				present	char_tracker_stage05	rachel	present			medium	
12	28	78.73	79.45	Oh, my God.	Phoebe	low	scene_context_inference	0.58	dialogue	True	False	Rachel | Phoebe	Rachel	Phoebe	True	two_sided_context_ambiguous | low_speaker_confidence	No direct transcript match; weak local context only.				present	char_tracker_stage05	phoebe|rachel	present			low	low_speaker_confidence
