scene_id	sentence_id	start	end	utterance	speaker	utterance_ct	speaker_ct	visual_presence	visual_presence_source	visual_presence_chars	speaker_visual_presence	speaker_visual_ratio	visual_presence_note	annotation_confidence	annotation_review_reason
2	1	8.4	27.04	Can't get the monkey off your back Then put it in your mouth With Monkey shine beer get it, monkey, get it, get it, monkey, monkey, monkey, Monkey Shine beer.	Commercial Voiceover	Can't get the monkey off your back? Then put it in your mouth...	Commercial Voiceover	absent	char_tracker_stage05		unobserved			medium	
4	2	27.2	32.14	Cause it's a jungle out there that commercial always makes me so sad.	Ross	That commercial always makes me so sad.	Ross	partial	char_tracker_stage05		absent	0.0000		medium	speaker_no_face
4	3	32.46	37.34	Yeah, but then the guy opens his beer and those girls run at him, so everything seems to work out okay.	Joey	Yeah, but then the guy opens his beer and those girls run at him, so, everything seems to work out OK.	Joey	present	char_tracker_stage05	joey	present	1.0000		high	
4	4	38.38	41.5	I meant because the monkey in it reminds me of Marcel.	Ross	I meant because the monkey in it reminds me of Marcel.	Ross	present	char_tracker_stage05	ross	present	0.7500		high	
4	5	41.58	42.54	I can see that.	Phoebe	i can see that 'cause and ya know the little pouty chin	Phoebe	present	char_tracker_stage05	ross	absent	0.0000		low	speaker_offscreen
4	6	42.7	44.58	Cause they both have those big brown eyes.	Phoebe	I can see that, 'cause they both have those big brown eyes and, ya know, the little pouty chin.	Phoebe	partial	char_tracker_stage05		absent	0.0000		medium	speaker_no_face
4	7	44.58	47.18	And, you know, the little pouty chin.	Phoebe	i can see that 'cause and ya know the little pouty chin	Phoebe	present	char_tracker_stage05	monica|phoebe	present	0.5000		low	low_speaker_confidence
4	8	47.74	49.42	And the fact that they're both monkeys.	Monica	And the fact that they're both monkeys.	Monica	present	char_tracker_stage05	monica|phoebe	present	1.0000		high	
4	9	51.02	52.78	Sometimes I wonder if I did the right thing.	Ross	Sometimes I wonder if I did the right thing, ya know, giving him away.	Ross	present	char_tracker_stage05	monica|phoebe	absent	0.0000		low	speaker_offscreen
4	10	52.78	53.18	You know?				present	char_tracker_stage05	monica|ross	unknown			low	missing_speaker
