scene_id	sentence_id	start	end	utterance	speaker	utterance_ct	speaker_ct	visual_presence	visual_presence_source	visual_presence_chars	speaker_visual_presence	speaker_visual_ratio	visual_presence_note	annotation_confidence	annotation_review_reason
53	1	7.84	8.96	Oh, fresh air.	Chandler	Oh fresh air!	Chandler	present	char_tracker_stage05	chandler	present	1.0000		high	
53	2	11.36	12.64	You're going to cover me?				present	char_tracker_stage05	chandler	unknown			low	missing_speaker
54	3	12.64	14.32	Wait, maybe, maybe you're overreacting.	Phoebe	(To Rachel) Wait! Maybe, maybe you’re overreacting! You do that y’know.	Phoebe	absent	char_tracker_stage05		absent	0.0000		medium	speaker_no_face
54	4	14.32	17.52	You do that, you know, Phoebe, we gotta do something.				absent	char_tracker_stage05		unknown			low	missing_speaker
54	5	18.4	20.68	You know, I mean there's no way Joey's gonna make it in time.	Rachel	Well Phoebe, we gotta do something! (They turn the corner.) Well, y’know. I mean there’s no way Joey’s gonna make it in time. So I’m gonna through the hotel and see if there’s any other weddings going on.	Rachel	absent	char_tracker_stage05		absent	0.0000		medium	speaker_no_face
54	6	20.68	23.28	So I'm go through the hotel and see if there's any other weddings going on.	Rachel	So I'm gonna through the hotel and see if there's any other weddings going on	Rachel	present	char_tracker_stage05	phoebe|rachel	present	0.5000		medium	
54	7	23.36	23.92	Okay.	Rachel	Okay.	Rachel	present	char_tracker_stage05	phoebe|rachel	present	1.0000		high	
54	8	24.08	26.96	Oh, but don't tell them Monica's pregnant cause they frown on that.				present	char_tracker_stage05	phoebe	unknown			low	missing_speaker
54	9	27.6	28.08	Okay.	Phoebe	Okay.	Phoebe	present	char_tracker_stage05	phoebe|rachel	present	0.5000		high	
54	10	28.08	28.32	Bye.				absent	char_tracker_stage05		unknown			low	missing_speaker
54	11	28.32	28.64	Bye.				absent	char_tracker_stage05		unknown			low	missing_speaker
54	12	39.29	42.13	Anastasakis Papa Sifakis wedding.				present	char_tracker_stage05	rachel	unknown			low	missing_speaker
54	13	42.13	42.65	Excellent.				present	char_tracker_stage05	rachel	unknown			low	missing_speaker
56	14	45.69	46.73	Congratulations.	Rachel	} Congratulations	Rachel	absent	char_tracker_stage05		absent	0.0000		medium	speaker_no_face
56	15	47.77	48.73	Mazel tov.	Rachel	Mazel Tov	Rachel	absent	char_tracker_stage05		absent	0.0000		medium	speaker_no_face
56	16	50.09	50.57	Hi.	Rachel	Hi	Rachel	absent	char_tracker_stage05		absent	0.0000		medium	speaker_no_face
56	17	50.73	51.85	Oh, great hat.	Rachel	Oh, great hat	Rachel	absent	char_tracker_stage05		absent	0.0000		medium	speaker_no_face
56	18	53.53	56.33	Listen, I need you to perform another wedding.	Rachel	Anastassakis/Papasifakis wedding, excellent! {It’s a good thing Jennifer Aniston is Greek, because she had to pronounce those names. Luckily for me, they were written on a sign.}(The happy couple emerges.) Congratulations. (To the best man and maid of honor) Mazel Tov! (The Priest emerges.) Hi! Oh, great hat. (He’s wearing an interesting hat and she takes him over to talk.) Listen umm, I need you to perform another wedding. Can you do that?	Rachel	present	char_tracker_stage05	rachel	present	1.0000		medium	
56	19	56.33	57.05	Can you do that?	Rachel	Can you do that	Rachel	present	char_tracker_stage05	rachel	present	1.0000		medium	
56	20	57.69	58.33	I don't know.	The Priest	I don't know	The Priest	present	char_tracker_stage05	rachel	unobserved			medium	
56	21	58.65	60.09	Are they Greek orthodox?	The Priest	I don’t know. Are they Greek Orthodox?	The Priest	partial	char_tracker_stage05		unobserved			high	
