scene_id	sentence_id	start	end	utterance	speaker	speaker_confidence	speaker_method	alignment_score	row_type	filled_from_missing	matched_to_ct	scene_speaker_set	prev_speaker_scene	next_speaker_scene	review_flag	review_reason	notes	utterance_ct	speaker_ct	speaker_original	visual_presence	visual_presence_source	visual_presence_chars	speaker_visual_presence	speaker_visual_ratio	visual_presence_note	annotation_confidence	annotation_review_reason
14	1	0.16	1.84	I think that you should apologize to Julie.	Monica	high	community_transcript_match	1.0	dialogue	False	True	Monica | Chandler		Chandler	True	speaker_offscreen	Speaker agrees with available community-transcript mapping.	No! But because he thought I was to faaaaa…. (Chandler emerges, without flushing by the way.) And every time I think about it, it makes me feel as bad as I did in fifth grade! Y’know, I-I really think that you should apologize to Julie.	Monica	Monica	present	char_tracker_stage05	chandler	absent	0.0		low	speaker_offscreen
14	4	5.68	8.8	No, but, you know, it would make me feel better if Lewis apologized to me.	Monica	high	community_transcript_match	1.0	dialogue	False	True	Monica | Chandler	Chandler	Chandler	True	speaker_offscreen	Speaker agrees with available community-transcript mapping.	No, I know. But y’know what? It would make me feel better if Lewis apologized to me.	Monica	Monica	present	char_tracker_stage05	chandler	absent	0.0		low	speaker_offscreen
14	10	22.0	22.56	I don't know.	Monica	low	scene_context_inference	0.58	dialogue	True	False	Monica | Chandler	Chandler	Monica	True	two_sided_context_ambiguous | low_speaker_confidence	No direct transcript match; weak local context only.				present	char_tracker_stage05	chandler|monica	present			low	low_speaker_confidence
15	17	38.88	41.08	And you'll be scored on a scale of 1 to 10.	Joey	high	community_transcript_match	1.0	dialogue	False	True	Joey | Ross | Rachel | Phoebe	Joey	Ross	True	speaker_no_face	Speaker agrees with available community-transcript mapping.	okay all right this is how it's going to work and you will be scored on a scale of 1 to 10 1 being the highest	Joey	Joey	partial	char_tracker_stage05		absent	0.25		medium	speaker_no_face
15	18	41.32	42.36	One being the highest.	Ross	low	scene_context_inference	0.58	dialogue	True	False	Joey | Ross | Rachel | Phoebe	Joey	Ross	True	two_sided_context_ambiguous | low_speaker_confidence	No direct transcript match; weak local context only.				present	char_tracker_stage05	joey|ross	present			low	low_speaker_confidence
15	21	45.32	46.52	Because it's the highest.	Joey	medium	scene_context_inference	0.7100000000000001	dialogue	True	False	Joey | Ross | Rachel | Phoebe	Joey	Ross	True	medium_confidence_context_fill	Continuation-style opener favors previous speaker within the same scene.				present	char_tracker_stage05	joey|ross	present			medium	
15	23	53.0	54.68	Situation number one.	Ross	high	scene_context_bridge	0.88	dialogue	True	False	Joey | Ross | Rachel | Phoebe	Ross	Ross	True	speaker_no_face	Same speaker appears on both sides within the same scene.				absent	char_tracker_stage05		absent			medium	speaker_no_face
15	24	54.76	55.88	You're with Monica.	Ross	high	scene_context_bridge	0.88	dialogue	True	False	Joey | Ross | Rachel | Phoebe	Ross	Ross	True	speaker_no_face	Same speaker appears on both sides within the same scene.				absent	char_tracker_stage05		absent			medium	speaker_no_face
15	41	93.9	94.38	Yes.	Ross	high	community_transcript_match	1.0	dialogue	False	True	Joey | Ross | Rachel | Phoebe	Joey	Ross	True	speaker_offscreen	Speaker agrees with available community-transcript mapping.	yes	Ross	Ross	present	char_tracker_stage05	joey|rachel	absent	0.0		low	speaker_offscreen
15	46	102.94	103.9	Yes, you, Honor.	Phoebe	high	community_transcript_match	1.0	dialogue	False	True	Joey | Ross | Rachel | Phoebe	Joey	Joey	True	speaker_offscreen	Speaker agrees with available community-transcript mapping.	Yes! Your honor?	Phoebe	Phoebe	present	char_tracker_stage05	joey|ross	absent	0.0		low	speaker_offscreen
15	47	105.5	107.02	We're now in the ceremony.	Joey	high	community_transcript_match	1.0	dialogue	False	True	Joey | Ross | Rachel | Phoebe	Phoebe	Joey	True	speaker_offscreen	Speaker agrees with available community-transcript mapping.	we're now in the ceremony what do you do go	Joey	Joey	present	char_tracker_stage05	phoebe	absent	0.3333		low	speaker_offscreen
15	63	140.68	142.2	The wedding is about to start.	Joey	high	community_transcript_match	1.0	dialogue	False	True	Joey | Ross | Rachel | Phoebe	Joey	Joey	True	speaker_no_face	Speaker agrees with available community-transcript mapping.	The wedding is about to start	Joey	Joey	partial	char_tracker_stage05		absent	0.3333		medium	speaker_no_face
15	64	142.36	146.92	You walk into the back room and you find Monica taking a nap with Ross.	Joey	high	community_transcript_match	1.0	dialogue	False	True	Joey | Ross | Rachel | Phoebe	Joey	Joey	True	speaker_no_face	Speaker agrees with available community-transcript mapping.	Ladies, please, please! Ok the next situation is for Rachel. The wedding is about to start. You walk into the back room and you find Monica taking a nap with Ross. (Ross lays down on the floor) I'll be Monica. GO!	Joey	Joey	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
15	65	147.24	147.76	I'll be.	Joey	high	community_transcript_match	1.0	dialogue	False	True	Joey | Ross | Rachel | Phoebe	Joey	Joey	True	speaker_no_face	Speaker agrees with available community-transcript mapping.	I'll be Monica	Joey	Joey	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
15	66	147.76	148.52	Monica, go.	Joey	high	community_transcript_match	1.0	dialogue	False	True	Joey | Ross | Rachel | Phoebe	Joey		True	speaker_no_face	Speaker agrees with available community-transcript mapping.	GO	Joey	Joey	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
16	67	149.0	150.2	No, no, no.	Ross	high	community_transcript_match	1.0	dialogue	False	True	Ross | Rachel | Joey | Phoebe		Ross	True	speaker_no_face	Speaker agrees with available community-transcript mapping.	Oh no no no	Ross	Ross	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
16	90	224.7	225.18	Wow.	Joey	high	community_transcript_match	1.0	dialogue	False	True	Ross | Rachel | Joey | Phoebe	Rachel	Joey	True	speaker_offscreen	Speaker agrees with available community-transcript mapping.	Wow	Joey	Joey	present	char_tracker_stage05	ross	absent	0.0		low	speaker_offscreen
16	91	227.58	228.3	Speech.	Joey	high	community_transcript_match	1.0	dialogue	False	True	Ross | Rachel | Joey | Phoebe	Joey	Ross	True	speaker_offscreen	Speaker agrees with available community-transcript mapping.	Wow. (To Ross) Good speech.	Joey	Joey	present	char_tracker_stage05	ross	absent	0.0		low	speaker_offscreen
16	93	231.26	233.58	Okay, Phoebe, I guess you're next.	Ross	high	community_transcript_match	1.0	dialogue	False	True	Ross | Rachel | Joey | Phoebe	Ross	Ross	True	speaker_offscreen	Speaker agrees with available community-transcript mapping.	okay phoebe i guess you're next	Ross	Ross	present	char_tracker_stage05	phoebe	absent	0.3333		low	speaker_offscreen
19	111	311.64	314.24	Can I get you guys something to drink while you tabulate?	Phoebe	high	community_transcript_match	1.0	dialogue	False	True	Phoebe | Ross | Joey | Rachel		Ross	True	speaker_no_face	Speaker agrees with available community-transcript mapping.	(to Ross and Joey) Can I get you guys a drink while you tabulate?	Phoebe	Phoebe	partial	char_tracker_stage05		absent	0.0		medium	speaker_no_face
19	124	338.98	340.06	I'm sorry, Rachel.	Ross	high	community_transcript_match	1.0	dialogue	False	True	Phoebe | Ross | Joey | Rachel	Rachel	Ross	True	speaker_offscreen	Speaker agrees with available community-transcript mapping.	i'm sorry rach	Ross	Ross	present	char_tracker_stage05	rachel	absent	0.0		low	speaker_offscreen
19	125	340.06	340.42	It was.	Ross	high	community_transcript_match	1.0	dialogue	False	True	Phoebe | Ross | Joey | Rachel	Ross	Ross	True	speaker_offscreen	Speaker agrees with available community-transcript mapping.	i'm sorry rach it was	Ross	Ross	present	char_tracker_stage05	rachel	absent	0.0		low	speaker_offscreen
