scene_id	scene_desc	start	end	shot_ids
1	Chandler and Joey's, Joey is sitting at the counter reading a magazine as the phone rings.	4.80	10.48	2,3,4
3	The phone rings again.	10.48	21.52	4,5,6
5	The phone rings yet again.	26.32	40.84	7,8,9
6	The phone rings again	47.08	70.13	10,11,12
8	Monica and Rachel's, everyone but Joey and Chandler are there getting ready for Thanksgiving.	70.21	130.47	12,13,14,15,16,17,18,20,22,23
9	Phoebe reaches into the bowl of names as Joey enters	133.27	145.77	24,26,27,28
10	Ross chuckles	148.65	166.36	29,30,31,33,36
12	Cut to later, the gang, minus Joey, is watching the Thanksgiving Day parade.	166.44	313.65	36,37,38,39,40,41,42,43,44,45,46,47,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,65,66,67,68,70,71,72,73,74,75
14	Cut to later, Phoebe is adding butter to something and Ross is watching.	313.65	401.46	75,76,77,79,80,82,83,86,87,88,89,90,91,92,93,94,95,96,97
15	Chandler and Joey's, Joey is repacking the furniture into boxes to return it.	408.25	474.42	99,100,101,102,103,105,106,107,108,109,110,111,112,114,115,116,117,118,119,120
16	Central Perk, Chandler and Kathy are sitting at a table and talking about Joey.	474.42	505.35	120,121,122,123,124,125,127
17	Joey turns around and sees them kissing.	511.83	518.08	130,131
18	Dr. Burke’s office, Rachel and Monica are waiting as the doctor arrives.	524.96	536.96	132,133,134
19	Monica laughs	546.78	549.98	134
20	The intercom buzzes.	552.62	565.82	135,136,137
22	Chandler and Joey's, Joey is packing as Chandler rushes in.	573.81	627.42	139,140,141,142,143,144,145,147
23	The chick and the duck walk into the living room.	627.42	675.90	147,148,149,150,151,152,154,155,156
24	Dr. Burke’s office, Tim is examining Monica.	676.71	742.02	156,157,158,159,160,161,162,163,164,165,166,167,168,169,170
