scene_id	scene_desc	start	end	shot_ids
12	They both sit back down.	1.68	54.75	1,2,3,4,5,6,7,9,10,11,12
13	He moves to kiss her, but stops when he hears the duck.	54.75	56.11	12,13
14	Ross’s apartment, Carol has come to pick up Ben.	59.23	153.06	13,14,15,16,17,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
15	Joshua’s parents’ apartment, Rachel and Joshua are entering.	153.06	182.79	35,36,37,38,39,40,41
16	They kiss.	183.84	197.52	41
17	She goes down the hall. Joshua goes to put the food away when his parents walk in.	201.20	222.22	42,43,44,45,46,47
18	They all go into the kitchen. Just then, Rachel comes back from the bathroom; she had removed her dress and is wearing nothing but a lace nightie. She tries to find someplace seductive to wait for Joshua. She tries to sit on the piano, but it makes too much noise. So she goes over to the couch and kinda half lays down to wait for Joshua. Joshua comes in from the kitchen, sees Rachel, and freezes.	246.54	254.12	52,53,54
19	Just then, his parents enter. Rachel gasps.	262.04	343.95	57,59,60,61,63,64,65,66,68,69,70,71,72,73,74,75,76
20	Monica and Rachel's erm, Chandler and Joey's, Chandler is looking for a new name in Phoebe’s book of names.	347.07	402.72	77,78,79,80,81,82,83,84,85,86
21	Central Perk, Rachel is telling Phoebe and Monica of her date.	407.44	526.28	87,88,89,90,92,93,94,95,96,97,98,99,100,102,103,104,105,106,107,109,110,111,112,113,114,115,116,117,119,120,121,122
22	Monica and Rachel's erm, Chandler and Joey's, Phoebe is showing off more of her drum skills to Joey by rubbing one of the sticks back and forth across the drum.	532.68	603.80	124,125,126,127,128,129,130,131,133,134,135,136,137,138
23	They both hug.	603.80	627.81	138,139,140,141,142
26	the airport, Carol and Ross are waiting for Emily and Susan to deplane. A gorgeous woman walks by and they both turn to watch her go.	632.53	634.69	142
28	They both run and hug they’re respective partners.	637.09	648.85	143,144,145,146,147
