scene_id	scene_desc	start	end	shot_ids
1	Monica and Rachel's, everyone except Joey and Chandler are there eating breakfast.	4.00	43.51	2,3,4,6,7,9
2	Pause	47.67	51.27	10,11,12
4	Central Perk, Joey is getting a phone number from a woman (Casey) as Chandler watches from the doorway.	62.40	137.65	14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
5	Monica and Rachel's, Ross and Monica are sitting on the couch playing cards, and Phoebe is working on a new song.	142.53	180.36	32,33,34,35,36,37,38
6	Monica is taking a drink as Ross says that, laughs, and snorts her drink.	183.48	274.04	39,41,42,43,44,45,46,49,50,51,52,53,54,55,56,57,58,59,60,61
7	"Cut to later that same day, Ross has retrieved his keyboard and is about to debut, ""The Sound."""	283.56	372.00	66,67,68,69,72,73,74,76,77,78,79,83,86,87
8	Ross starts to play. He plays a key that has a back beat sound attached to it. Over the background music he plays the sound of a barking dog, a mooing cow, a laser beam, someone coughing, a jackhammer, a doorbell, a police siren, a ray gun, breaking dishes, and for a closer he plays the sound of a loud crash. Basically, the music sucks.	384.46	473.04	89,97,99,101,102,103,104,105,106,107,109,111,112,113,114,115
9	Chandler and Joey's, Chandler is watching Yasmein Bleeth running on TV, and the duck starts quacking.	478.88	483.92	116,117
10	There’s a knock on the door.	486.88	580.30	118,119,120,121,122,123,124,126,127,128,129,130,131,132,133,135,136,137,138,139,140,141,142,143,144,145
11	Cut to later, Kathy is cutting Chandler’s hair.	586.46	606.52	146,147,148,149
12	"Kathy leans in really close and Chandler mouths ""Oh my God."" She moves around in front of him and kneels at his feet."	620.04	629.69	151,152,153,154
13	They lean in to kiss and are interrupted by the phone.	633.29	676.99	156,157,158,159,160,161,162,163,164,165
14	Kathy leaves and Chandler groans in agony. Kathy knocks on the door and Chandler opens it.	677.23	693.88	165,167
15	They kiss, passionately.	701.00	710.13	167
16	They kiss again and stop suddenly.	710.13	733.93	167,168,169,170,171,172,173,174,175
