scene_id	scene_desc	start	end	shot_ids
1	Monica and Rachel's, it’s 0-Dark:30, in other words it’s really, really early. Everyone’s asleep, and all through the apartments not a creature was stirring, not even a mouse. That is except for the chick, who turns out to be a rooster and is crowing in the sun. Needless to say, this awakens Monica and Rachel who rush into their living room, searching for the cause of the sound.	0.24	1.92	1
13	Monica and Rachel's, the game is coming to a close.	2.08	86.79	1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20
14	Chandler and Joey shake Monica's hand while Chandler jumps up and down in excitement.	91.35	109.31	20,21,22
16	Monica and Rachel's, continued from earlier, only slightly later.	109.31	176.80	22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,39,40,41,42,43,45,46,47,48
17	They both confer.	177.04	194.82	48,49,50,51,52,54,55,57
18	As they change places, they give each other the now patented Ross maneuver which is another way of flicking somebody off.	198.82	225.28	58,59,60,61,63,64,65,66,67,68,69,70,71
19	The girls are stumped	230.24	250.16	73,75,76,77,79,80
20	Ross stops the clock, signifying the end of the lightning round.	251.76	252.72	81,82
21	Monica and Rachel's, erm, Chandler and Joey's, Chandler and Joey are carrying in the foosball table.	267.44	274.96	86,87
22	Chandler grunts and turns around, sees that he’s in sight of the room, and mouths damn!	280.09	383.62	90,91,92,94,95,96,97,98,99,100,101,102,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
23	Phoebe comes in from the bathroom as Rachel sits down in disgust.	388.35	425.91	121,122,123,124,125,126,127
24	Cut too later, the moving process is progressing steadily. Monica is trying to lift a heavy box, as Rachel comes in from Chandler’s bedroom.	431.11	484.51	129,130,131,132,133,134,135,137,138,142
25	Cut to later, Phoebe is still in the chair and Rachel is laying down as Monica enters.	484.67	486.03	143
26	Cut to still later, Rachel has now resigned herself to move and is now helping Monica. Phoebe is still on the chair.	491.47	505.33	144,145,146,147,148
27	There’s a knock on the door and Monica answers it.	505.41	566.20	148,149,150,151,152,153,155,156,157,159,160,164,165
28	The door opens and Joey and Chandler ride in on the big, fake dog in triumph	566.44	593.14	165,166,167,168,169,170,171,172,173,174,176
29	They all decay into massive bickering as Phoebe returns from the bathroom.	593.14	605.22	176,181
30	They all go over and hug Phoebe.	614.99	616.99	184
32	Chandler and Joey's, erm, Monica and Rachel's, Monica and Rachel are busy unpacking.	629.71	633.39	185,186
33	She opens a door and they both scream at horror at what’s inside of it.	639.24	655.76	189,191
34	Monica and Rachel's, erm, Chandler and Joey's, they’re both unpacked. The big ceramic dog has found a new home in front of the window. Joey screams and runs into the living room.	655.76	672.01	191,192,193,194,195
