scene_id	scene_desc	start	end	shot_ids
21	They both start to frantically rip each other's clothes off, but are interrupted when Joey tries to open the door.	1.44	20.72	2,3,4
22	Ross and Emily's room, Chandler and Monica are still looking for a place to do the deed.	26.24	59.20	5,6,7,9,10,11,12
23	They both run to rip the covers off the bed, but are interrupted by Ross.	60.14	126.27	13,14,16,17,18,20,22,23,24,25,26,27,28
25	Ross and Emily's room, the next morning. Ross is now asleep and has his head in Monica's lap and his feet on Chandler's lap. Monica and Chandler are both still awake and depressed.	142.12	157.64	28,29
26	They both try to slowly extricate themselves from Ross, but there's a knock on the door that awakens him.	163.40	246.37	30,31,32,33,35,36,37,39,40,41,42,43,44,45,46,47,48
27	A 747 somewhere over the North Atlantic, Monica and Chandler are sitting in first class, depressed.	264.19	287.59	49,50,51,52
28	Monica gets up and heads for the bathroom, Chandler turns to watch her go and is startled to see Joey sitting in Monica's seat.	292.14	332.32	53,54,55,56,57,58,59,60
29	Time lapse, Chandler is finishing his third little bottle of booze.	332.32	340.45	60,61,62
30	Monica returns.	340.60	347.16	62,63,64
31	Monica and Rachel's, Phoebe is eating cereal from a bowl she has balanced on her stomach as Joey, Chandler, and Monica return.	359.24	366.12	65,67
32	They all hug.	369.22	393.57	68,69,70,71,72,73,74,75
33	She grabs her bag and leaves, Joey moves a little quicker to his apartment, leaving Monica and Chandler alone.	404.77	468.32	77,78,79,80,81,83,84,85,86,87,88
34	After he closes the door, Monica starts to follow him, but thinks better of it and stops.	482.24	496.97	91,92,93
35	An airport in London, Ross is waiting for Emily to show up to go on their honeymoon and sees Rachel walking past.	498.01	648.88	93,94,95,96,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129
36	Ross retrieves his jacket and sees that not only has Emily arrived, but she as seen Rachel take her place on the plane.	655.21	662.41	131,133
37	She stares at him and Ross realises what she's thinking.	662.41	667.69	133,135
39	Flight 1066 to Athens, Rachel is ordering a drink for Ross and herself.	671.29	697.55	135,136,137,138,139
