scene_id	scene_desc	start	end	shot_ids
53	Ross and Rachel's room, Ross is drinking a beer while Rachel is examining herself in the mirror.	0.24	1.44	1,2
54	The Craps Table, Monica is still on her roll, only this time Chandler's with her and she has a huge crowd of people around.	7.60	130.76	2,3,5,6,7,9,10,11,12,13,14,15,16,18,19,20,21,22,23,24,25,27
55	She rolls the dice, but one bounces out of the table.	131.72	144.88	27,28,29,30,31
56	He searches to his right; she searches to her left. They're both on their hands and knees when they spot the die. It's propped up against the table leg, and it's not lying flat. Both the four and the five are showing.	144.88	152.95	31,32,34
57	Pause.	157.11	192.37	35,36,37,40
59	The slot machines, Phoebe is still feeding quarters into the one-armed bandit as the lurker peeks over the top of the machines.	197.57	203.73	41,42,43
60	They start smacking each other's cups, but Phoebe notices a security guard approaching.	206.29	250.36	44,45,47,48,49,50,51,52,53,54,55,56,57,58
61	Ross and Rachel's room, they've pretty much consumed the entire mini-bar. Needless to say, they're feeling no pain and are still playing blackjack.	251.88	276.95	59,60,61,62,63
62	They both start laughing. There's a knock on the door.	281.43	367.12	64,65,66,67,68,69,70,71,73,74,75,76,77,79,80,81,82,83,84
63	Cut to the casino, a very drunk and doodled on Rachel is walking arm in arm with an equally drunk and doodled on Ross are walking through the casino and greeting people on their way through. Ross has some whiskers and his nose colored in, along with his name on his forehead.	368.96	376.62	85
64	They've made their way to the statue of the naked man that Chandler was leaning against earlier.	382.38	412.53	85,88,90
66	The slot machines, we see some guy not having any luck. Both Phoebe and the Lurker are lurking him and each stick their heads around the corner at different times This is all set to that Pink Panther song. Finally the guy gives up and walks past the lurker's position, thus giving her the advantage. She scurries in and quickly drops a coin in the slot before Phoebe gets there. Phoebe arrives slightly later and pulls the arm just after the lurker deposits the coin and wins.	413.17	419.73	90,91,92,93
67	The security guard approaches.	422.29	460.31	93,94,95,96,97,98,100,101,102,103,104,105,106
68	The Gift Shop, Monica and Chandler are entering.	460.31	502.47	106,107,108,109,110,111,112,113,114,115,116,117,118,120
69	She does so and it makes her look pregnant.	506.23	507.67	121
70	A blackjack table, Joey is moving in to try and get his hand twin (who's dealing) to join him in his million-dollar idea.	522.75	601.06	123,124,125,130,131,133,134,135,136,137,138,139,140,141,142,143
71	The security guard from before approaches and Phoebe tries to turn her back on him.	604.58	624.97	144,145,146,147,148,149,150
72	A Little White Chapel, Chandler and Monica are entering.	630.33	638.25	151,152
73	They both sit down.	641.73	653.97	153,155,156
74	The real Wedding March begins playing from behind the closed doors of the chapel.	658.61	664.45	158,159,160
75	Suddenly the doors burst open, and ROSS AND RACHEL COME OUT ARM-IN-ARM!!!!! And Rachel's carrying a bouquet!!! THEY GOT MARRIED!!!!	670.53	675.23	164
76	They storm out into the street.	678.27	717.12	164,170
