scene_id	scene_desc	start	end	shot_ids
25	They go into his bedroom.	1.52	13.56	2,3,4
26	They start playing.	13.56	27.40	4,6
27	Monica and Rachel's, Monica, Rachel, and Phoebe are there.	27.40	52.42	6,8,9,10,11
28	There's a knock on the door and Monica answers it.	52.42	71.70	11,13,14,15,16
29	She opens the door and Rachel hides behind it.	76.02	83.78	18,19
30	He leaves and she closes the door.	85.94	97.14	20,21,22,23
31	Central Perk, Chandler, Joey, and Ross are there. Chandler and Joey are looking through the paper.	97.14	159.28	23,24,25,26,27,29,30,31,32,33,34,35,36,37,38,39,40
32	The apartment in the listing, the guys are checking it out. There's one problem though, it's roughly the size of this computer screen. As they enter Joey lets out a whistle.	173.11	201.76	41,42,43,44,45,46
33	They don't move, just look all around them.	201.92	209.36	46,47,48
34	He looks at them.	216.24	237.15	48,49,50,51
35	He exits.	242.43	252.87	52,53,54,55
36	Central Perk, Phoebe is there waiting for Larry.	258.39	291.39	57,58,60,62,63,64,66
37	Just as they're about to leave, Gunther comes out of the back carrying two garbage bags. Larry sees this and stops him.	294.99	350.93	67,68,69,70,71,72,73,74,75,76,77,79
38	Chandler and Joey's, Chandler and Joey are lamenting about how they kicked Ross out.	351.65	360.93	79,80
39	Pause.	365.71	380.19	80,81,82,83
40	The phone rings and Joey answers it.	381.55	416.63	84,85,86,88,90,92
43	Monica and Rachel's. Rachel enters from her room with a dress on and a coat on her arm.	428.96	464.02	96,99,100,101,102,103,104,106
45	Downstairs at Danny's party, Monica and Rachel are coming down the stairs and Rachel has on a coat to make it look as if she's just getting back. But just as they reach the landing they see Danny out in the hall talking to a guest, Rachel then quickly pulls Monica back up the stairs.	465.30	477.36	107
46	Monica obeys.	479.76	507.59	108,109,110,111,112
47	Rachel returns.	511.02	591.58	114,115,116,117,118,119,120,122,123,124,125,126,127,128,129,130,131,132,133
48	He walks off.	591.58	606.32	133,135,136,137
50	Chandler and Joey's, Ross still has boxes all over the place. Joey is wearing a football helmet, and Chandler is spinning him around in one of the chairs and counting.	611.52	620.08	139,140
51	He tries to get up again and starts falling backwards and Chandler catches him.	624.64	625.76	141
52	Ross enters.	627.28	684.09	142,143,144,145,146,147,148,149,150,151,152,154,155
55	Chandler and Joey's and Ross's, Chandler is entering and when he closes the door Joey pops his head out of the fort like before, but this time he's wearing a cowboy hat.	700.09	724.04	159,160,161,163,164,165
