scene_id	scene_desc	start	end	shot_ids
1	Monica and Rachel's, Monica and Rachel are hosting a New Year's party. So the place is crowded and in a shameless promotion for NBC they're watching Jay Leno's coverage of New Year's from Time Square.	2.56	25.76	1,2,3,4,5,6
2	They try to stop him, not sure of what he's planning. He ignores them and goes to talk to Ross.	25.84	65.32	6,7,8,9,10,11,12,13,14,15,16,17,18,20,21
3	And with that everyone starts playing tonsil hockey. Chandler with Monica, Ross with Phoebe, and Joey with Rachel.	71.80	78.92	24,25,26,27,28
6	Monica and Rachel's, after the party. Everyone has left, except for the gang.	128.25	232.54	65,66,68,69,70,71,72,73,74,75,76,77,78,79,81,82,83,84,85,86,87,88,89,90
7	Rachel, proud of herself that she freaked out Monica, finishes dusting the crumbs off of her hands	238.22	259.90	93,94,95,96,97,98
8	They all laugh.	263.02	285.61	99,100,101,102,104
9	She puts her hands over her breasts and indicates that the coworkers boob job resulted in one pointing up and one pointing down with her hands by pointing up with one hand and down with the other.	285.61	315.37	104,105,106,107,108,109,110,112
10	Rachel quickly grabs back her diary and closes it	315.37	330.93	112,113
11	Central Perk, Ross is talking to a beautiful woman as Chandler and Joey enter.	337.07	396.13	114,115,116,117,118,119,120,121,122,123,124,125,126,127
12	Note: The following Ross and Joey lines were not edited out. You hear them saying them but their lips aren't moving. Editor's bad!	400.45	460.68	129,130,131,132,133,135,136,137,138,139,140,142,143
13	Monica and Rachel's, Phoebe is entering with Rachel.	460.84	565.20	143,144,145,146,147,149,150,151,152,153,154,156,157,158,160,161,162,164,165,167,168,169,170,171,173
14	They all speak at once in general approval of his pants selection; Joey asks where he got them. I can't pick out the rest of it.	565.20	579.00	173,174
15	No one says anything.	582.63	591.99	176,177,178,179
16	Monica starts taking pictures of Ross and Ben, with the flash.	595.43	628.73	181,182,183,184,186,187,189
17	Elizabeth Hornswoggle's apartment; Ross is there on his date with her. They are sitting on the couch watching a movie. Ross is obviously hot.	628.73	641.26	189,190
18	"He shifts on the couch and a ripping sound emanates from his lower regions, the sound reminds one of a brief explosion of gas. In other words, it sounds like he farted. She has a look of horrific wonderment, wondering ""Did he just fart?"""	655.50	689.05	191,192,194
