scene_id	scene_desc	start	end	shot_ids
1	Chandler and Joey's, Chandler is getting ready for a date with Monica as Ross enters.	3.28	18.96	2,3,4,5,6
2	There's a knock on the door and Chandler answers it. It's the pizza delivery girl.	23.12	39.14	6,7,8,9,10,11
3	The duck starts quacking.	39.14	47.90	11,12,13
4	He closes the door and turns to see Ross glaring at him.	51.90	133.79	16,17,18,19,20,21,22,23,24,25,43,44
6	Monica and Rachel's, Rachel and Phoebe are in the kitchen.	133.95	144.11	44,45,47
7	Ross and Chandler enter with the pizzas.	146.03	172.13	49,50,51,52,53,54,55,56
8	Ross looks at Rachel.	175.73	323.04	58,59,60,61,62,64,65,66,67,68,69,70,71,72,73,74,76,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
9	Phoebe then gets possessed 'cause she starts speaking in tongues. She speaks Italian to Joey's grandmother. She is quickly exorcised and returns to speaking in English. Of course, too most people English is a strange language as well. But none of them are probably reading this and if they were they wouldn't understand it. So why am I talking about them? I have absolutely no clue. Moving on…	323.76	372.94	94,95,97,98,99,100,101,102,103,104,105,106,107,108,109
10	Time Lapse, the gang is now watching Law & Order. By the way, the entire rest of the episode takes place in Monica and Rachel's apartment. Why are they called apartments when they're all stuck together? Something to think about.	373.96	380.16	109,110,111,112
11	His grandmother asks him something.	380.16	402.37	112,113,115,116,117,118
12	There's a knock on the door.	405.57	421.49	119,120,121,122,123
13	Ross opens the door.	421.49	658.86	123,124,126,127,128,129,130,131,132,133,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,175,176,177,178,179,180,182,183,184,185,186,187,188
