scene_id	scene_desc	start	end	shot_ids
1	Chandler's bedroom, he is giving Monica a massage.	3.20	9.20	1
2	Chandler picks up the timer being used and turns it to zero at which it chimes.	13.20	22.40	1,2,3,4
3	They change places.	22.56	29.48	4
4	She starts the massage, only she is doing extremely hard and Chandler is gasping in pain.	32.28	41.48	5,6,7,8
5	Chandler frantically tries to grab the timer.	41.48	104.04	8,9,10,29,30
7	Central Perk, Chandler and Joey are sitting on the couch.	104.04	149.14	30,31,32,33,34,35,36,37,38
8	Chandler shakes his head.	152.66	161.22	40,42
9	Rachel laughs.	161.38	178.04	42,43,44
10	Chandler picks up a basket from the table and puts it on his head.	180.44	190.68	45,46,47,48,49
11	Both of them remove their hats as Phoebe enters.	193.96	199.81	50
12	All at once.	201.09	281.30	50,51,53,54,56,57,58,59,60,61,62,64,65,66,67,69
13	Bloomingdale's, Rachel is fixing Joey up with some new clothes.	281.30	347.92	69,70,71,72,73,74,75,76,77,78,79,80
14	Ursula's apartment, Phoebe is about to break the bad news to her sister. She knocks on the door.	357.60	423.09	81,82,83,84,85,86,87,88,89,90,91,93,94,95,96,97,98,99,100,101
15	Central Perk, Ross and Chandler are on the couch as Joey enters with his new bag.	427.25	428.13	101
16	As he walks past both Chandler and Ross notice the bag and stare at each other in shock.	435.73	498.92	103,104,105,106,107,109,110,111,112,113,114,115,116,117,118,119,120,122
17	Phoebe's Grandmother's memorial, Phoebe is at the door welcoming people.	498.92	507.73	122,123,125
18	The gang arrives.	511.57	529.97	126,127,128,129,130,131
19	Another man, an older man, enters, looking around and bumps into Chandler.	532.67	535.91	132,133,134
20	The gang moves off as Phoebe greets the new guest.	535.91	555.55	134,135,136,137,138,139
21	Needless to say, Phoebe is stunned into silence. And one audience member gasps.	559.08	574.76	141,143,144,145,146,147
22	Phoebe takes one step after him and stops.	578.68	583.77	148,149,150
23	They all look down the hall he left from.	584.40	588.32	150,151
24	Time lapse. Phoebe is returning after looking for her father.	598.32	632.98	151,152,153,154,155,156,157,158
26	Monica and Rachel's, after the funeral, everyone is there.	645.34	676.83	160,161,162,163,164,165
27	She goes over and tries to give Phoebe a massage. Phoebe yelps in pain and jumps away from her.	676.99	684.49	165,166
