scene_id	scene_desc	start	end	shot_ids
38	Joey starts to leave to embark on his genius moneymaking scheme, but is freaked out slightly when as he goes to open the door, there's a mysterious knock. He calms himself down and opens the door to reveal Phoebe.	0.24	62.57	2,3,4,5,6,7,8,9,10,11,12,13,22
40	That same plane cabin, Ross is working on a crossword puzzle and Rachel is asleep against his shoulder. She shifts a little bit and Ross suddenly gets an idea. An evil idea when he looks at his pen. Then we have a little time lapse, the plane has landed and everyone is disembarking. The flight attendant is saying bye-bye to everyone.	63.77	88.89	22
41	Rachel approaches and we see the fruits of Ross's evil plan. He has drawn a moustache and beard on Rachel. The flight attendant just ignores it.	91.51	99.75	22
42	The casino, Ross and Rachel are entering.	105.91	107.99	23
43	A young boy sees Rachel, points, and starts laughing.	115.83	165.05	25,26,27,28,29,30,31,32,33,34,35,36,37,38,40
44	The old lady at Phoebe's machine wins. Phoebe turns around in shock.	165.45	277.81	41,42,43,44,45,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,72
45	The craps table, Monica is on a big roll.	280.61	334.59	73,74,75,76,77,78,79,80,81,82,83,84,86,88,89
46	A blackjack table, it's the same one Joey's hand twin was working at, only he's not there anymore and has been replaced by a beautiful woman.	342.11	388.61	91,92,93,95,96,97,98,100,101
47	Ross and Rachel's hotel room, Rachel is still trying to get the ink off and Ross is on the phone to the company.	388.69	459.45	101,103,104,105,106,107,108,110,111,112,113,114,115,116,117
49	Time lapse, they're both entering.	459.45	492.43	117,118,119,120,121,123,124,125,126,127,128
50	The casino, Phoebe is playing on a slot machine. Suddenly the lurker sticks her head around the aisle of slot machines.	507.15	563.99	132,133,134,135,136,138,139,140,141,142,143,144,145,146,147,149,150,151
51	Phoebe goes to and picks up one of the house phones. We see the old lady lurker hanging up the phone and leaving. Phoebe does not realize this.	563.99	566.91	151
52	The Men's room, Joey is entering and sees his hand twin washing his hands.	570.59	642.26	151,152,153,154,155,156,157,158,159,160,161,162,163,165,166,167
53	Ross and Rachel's room, Ross is drinking a beer while Rachel is examining herself in the mirror.	642.98	671.04	168,169,170,171,172,174,176
