scene_id	start	end	duration	n_nodes	n_edges	density	n_components	n_interaction_edges	interaction_density	interaction_entropy
15	2.4	23.28	20.880000000000003	4	6	1.0	1	6	1.0	2.1611906957154545
17	39.98	54.74	14.760000000000005	3	3	1.0	1	3	1.0	1.4185644431995963
19	54.74	139.04	84.29999999999998	3	3	1.0	1	2	0.6666666666666666	0.9570913284476625
20	139.92	159.35	19.430000000000007	2	1	1.0	1	1	1.0	-0.0
21	164.55	269.53	104.97999999999996	2	1	1.0	1	1	1.0	-0.0
22	273.93	332.95	59.01999999999998	3	3	1.0	1	3	1.0	1.021786166997074
23	332.95	340.91	7.960000000000036	2	1	1.0	1	1	1.0	-0.0
24	341.55	342.59	1.0399999999999636	1	0	0.0	1	0	0.0	0.0
25	343.95	349.55	5.600000000000023	1	0	0.0	1	0	0.0	0.0
26	351.63	377.909	26.278999999999996	3	3	1.0	1	3	1.0	1.5403153108516312
27	382.63	401.27	18.639999999999986	3	3	1.0	1	2	0.6666666666666666	1.1599430323331075
28	401.27	414.43	13.160000000000025	3	3	1.0	1	3	1.0	1.5403153108516312
29	421.72	429.56	7.839999999999975	3	3	1.0	1	3	1.0	1.4185644431995963
30	429.96	460.32	30.360000000000014	3	3	1.0	1	3	1.0	1.4952230009258445
31	464.48	498.06	33.579999999999984	2	1	1.0	1	1	1.0	-0.0
32	498.06	540.41	42.349999999999966	4	6	1.0	1	6	1.0	1.944781346961988
33	546.25	548.89	2.6399999999999864	2	1	1.0	1	1	1.0	-0.0
34	550.17	553.29	3.1200000000000045	1	0	0.0	1	0	0.0	0.0
35	556.97	563.05	6.079999999999927	3	3	1.0	1	3	1.0	1.4585382252232173
36	573.11	685.04	111.92999999999995	5	10	1.0	1	6	0.6	1.9317935031428701
37	689.2	690.32	1.1200000000000045	1	0	0.0	1	0	0.0	0.0
39	696.48	699.84	3.3600000000000136	1	0	0.0	1	0	0.0	0.0
40	705.04	759.68	54.639999999999986	2	1	1.0	1	1	1.0	-0.0
