scene_id	start	end	duration	n_nodes	n_edges	density	n_components	n_interaction_edges	interaction_density	interaction_entropy
1	2.72	16.48	13.76	4	6	1.0	1	6	1.0	2.1512232593347473
2	17.28	17.84	0.5599999999999987	1	0	0.0	1	0	0.0	0.0
3	19.6	46.06	26.46	3	3	1.0	1	3	1.0	0.8253846886842553
4	48.38	101.17	52.79	3	3	1.0	1	3	1.0	1.5185721986635317
6	155.61	172.17	16.559999999999974	2	1	1.0	1	1	1.0	-0.0
7	174.49	233.17	58.67999999999998	4	6	1.0	1	6	1.0	2.123721552107862
8	233.17	305.07	71.9	3	3	1.0	1	3	1.0	1.4734062303973734
9	309.23	333.28	24.049999999999955	2	1	1.0	1	1	1.0	-0.0
10	333.28	337.72	4.440000000000055	2	1	1.0	1	1	1.0	-0.0
11	343.65	349.81	6.160000000000025	2	1	1.0	1	1	1.0	-0.0
12	358.53	444.63	86.10000000000002	2	1	1.0	1	1	1.0	-0.0
13	447.83	484.82	36.99000000000001	3	3	1.0	1	3	1.0	1.4514199704168795
14	490.98	498.98	8.0	3	3	1.0	1	3	1.0	1.5821930667351334
15	501.14	512.07	10.930000000000064	1	0	0.0	1	0	0.0	0.0
16	515.11	581.14	66.02999999999997	4	6	1.0	1	6	1.0	1.9913388081721022
17	581.14	655.33	74.19000000000005	3	3	1.0	1	3	1.0	1.3028061160372952
