scene_id	start	end	duration	n_nodes	n_edges	density	n_components	n_interaction_edges	interaction_density	interaction_entropy
53	9.36	41.33	31.97	2	1	1.0	1	1	1.0	-0.0
54	55.48	111.18	55.70000000000001	2	1	1.0	1	1	1.0	-0.0
55	113.82	174.82	61.0	2	1	1.0	1	1	1.0	-0.0
56	184.18	188.5	4.319999999999993	1	0	0.0	1	0	0.0	0.0
57	191.14	211.68	20.54000000000002	2	1	1.0	1	1	1.0	-0.0
58	224.88	266.43	41.55000000000001	5	10	1.0	1	6	0.6	2.407948916542122
59	268.03	271.15	3.1200000000000045	2	1	1.0	1	1	1.0	-0.0
60	276.11	291.29	15.180000000000007	2	1	1.0	1	1	1.0	-0.0
61	295.37	394.81	99.44	5	10	1.0	1	9	0.9	2.73387229972027
62	395.21	449.69	54.48000000000002	2	1	1.0	1	1	1.0	-0.0
63	450.56	515.24	64.68	3	3	1.0	1	3	1.0	1.234808737991423
64	522.36	537.5	15.139999999999986	2	1	1.0	1	1	1.0	-0.0
65	563.27	618.51	55.24000000000001	3	3	1.0	1	3	1.0	1.0890992115169222
66	626.35	670.38	44.02999999999997	1	0	0.0	1	0	0.0	0.0
67	670.38	718.79	48.40999999999997	5	10	1.0	1	7	0.7	2.5966484242628916
