scene_id	sentence_id	start	end	utterance	speaker	utterance_ct	speaker_ct	visual_presence	visual_presence_source	visual_presence_chars	speaker_visual_presence	speaker_visual_ratio	visual_presence_note	annotation_confidence	annotation_review_reason
38	1	0.24	1.2	Did you guys make up?	Phoebe	Ohh, you are so lucky! (To Chandler) Hey! So, where's Monica? Did you guys make up?	Phoebe	present	char_tracker_stage05	chandler|phoebe	present	1.0000		medium	
38	2	1.36	4.0	No, but she just came up here.	Phoebe	But she just came up here!	Phoebe	present	char_tracker_stage05	chandler|phoebe	present	1.0000		high	
38	3	4.4	5.36	That was Joey.	Chandler	That was Joey!	Chandler	present	char_tracker_stage05	chandler|phoebe	present	1.0000		high	
38	4	6.24	7.4	I wonder where she is.	Phoebe	I wonder where she is. That is so weird.	Phoebe	present	char_tracker_stage05	chandler|phoebe	present	1.0000		high	
38	5	7.4	8.28	It's so weird.	Phoebe	That is so weird	Phoebe	present	char_tracker_stage05	phoebe	present	1.0000		medium	
38	6	8.28	10.24	Yeah, well, she's probably talking to Richard.	Chandler	Yeah, well, she's probably talking to Richard.	Chandler	present	char_tracker_stage05	chandler	present	0.6667		high	
38	7	11.04	12.64	Would you stop that?	Phoebe	Would you stop that	Phoebe	present	char_tracker_stage05	chandler	absent	0.0000		low	speaker_offscreen
38	8	13.28	16.92	You want to know the first thing she said when she came back from her lunch with Richard?	Phoebe	Would you stop that! Do you wanna know the first thing she said when she came back from her lunch with Richard? She didn't feel anything for him. She loves you!	Phoebe	present	char_tracker_stage05	phoebe	present	1.0000		medium	
38	9	16.92	18.56	She didn't feel anything for him.	Phoebe	She didn't feel anything for him	Phoebe	present	char_tracker_stage05	phoebe	present	1.0000		medium	
38	10	18.56	19.52	She loves you.	Phoebe	She loves you	Phoebe	present	char_tracker_stage05	chandler|phoebe	present	1.0000		medium	
38	11	21.12	21.52	Really?	Chandler	Really?	Chandler	present	char_tracker_stage05	chandler	present	1.0000		high	
38	12	21.92	22.48	Yes.	Phoebe	Yes	Phoebe	present	char_tracker_stage05	chandler|phoebe	present	0.5000		medium	
38	13	23.12	24.32	She feels terrible.	Phoebe	Now, she feels terrible	Phoebe	present	char_tracker_stage05	phoebe	present	1.0000		medium	
38	14	24.8	26.16	She really wants to make up.	Phoebe	Yes! Now, she feels terrible! She really wants to make up! You gotta find her.	Phoebe	present	char_tracker_stage05	phoebe	present	1.0000		medium	
38	15	26.24	27.44	You've got to find her.	Phoebe	You gotta find her	Phoebe	present	char_tracker_stage05	chandler|phoebe	present	1.0000		medium	
