scene_id	sentence_id	start	end	utterance	speaker	speaker_confidence	speaker_method	alignment_score	row_type	filled_from_missing	matched_to_ct	scene_speaker_set	prev_speaker_scene	next_speaker_scene	review_flag	review_reason	notes	utterance_ct	speaker_ct	speaker_original	visual_presence	visual_presence_source	visual_presence_chars	speaker_visual_presence	speaker_visual_ratio	visual_presence_note	annotation_confidence	annotation_review_reason
1	1	2.8	4.8	Now I can't believe I'm getting my nails done.	Chandler	high	community_transcript_match	1.0	dialogue	False	True	Chandler | Rachel | Woman		Chandler	True	speaker_no_face	Speaker agrees with available community-transcript mapping.	Y'know I can't believe I'm getting my nails done. And you said it was going to be fun. (looks at his nails) Which it kind of is.  Also you said there would be other guys here. There are no other guys here!	Chandler	Chandler	partial	char_tracker_stage05		absent	0.3333		medium	speaker_no_face
3	18	62.3	63.98	Joey, let me ask you a question.	Monica	high	community_transcript_match	1.0	dialogue	False	True	Monica | Joey | Rachel | Chandler | Janice | Phoebe		Monica	True	speaker_no_face	Speaker agrees with available community-transcript mapping.	Joey let me ask you a question. What does this light switch do?	Monica	Monica	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
3	21	66.7	67.58	Oh, nothing.	Joey	high	community_transcript_match	1.0	dialogue	False	True	Monica | Joey | Rachel | Chandler | Janice | Phoebe	Monica	Monica	True	speaker_offscreen	Speaker agrees with available community-transcript mapping.	Ohh, Nothing.	Joey	Joey	present	char_tracker_stage05	monica	absent	0.0		low	speaker_offscreen
3	28	83.34	85.02	Well, here's another question for you.	Rachel	high	community_transcript_match	1.0	dialogue	False	True	Monica | Joey | Rachel | Chandler | Janice | Phoebe	Joey	Rachel	True	speaker_no_face	Speaker agrees with available community-transcript mapping.	Well, here's another question for ya	Rachel	Rachel	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
3	29	85.42	88.3	Do you know what that little silver knob on the toilet does?	Rachel	high	community_transcript_match	1.0	dialogue	False	True	Monica | Joey | Rachel | Chandler | Janice | Phoebe	Rachel	Joey	True	speaker_no_face	Speaker agrees with available community-transcript mapping.	Well, here’s another question for ya. Uhh, do you know what that silver knob on the toilet does?	Rachel	Rachel	partial	char_tracker_stage05		absent	0.0		medium	speaker_no_face
3	36	101.34	102.42	Oh, my God.	Rachel	low	scene_context_inference	0.58	dialogue	True	False	Monica | Joey | Rachel | Chandler | Janice | Phoebe	Joey	Rachel	True	two_sided_context_ambiguous | speaker_no_face	No direct transcript match; weak local context only.				absent	char_tracker_stage05		absent			low	speaker_no_face
3	37	102.42	102.78	Wow.	Rachel	high	scene_context_bridge	0.88	dialogue	True	False	Monica | Joey | Rachel | Chandler | Janice | Phoebe	Rachel	Rachel	True	speaker_no_face	Same speaker appears on both sides within the same scene.				absent	char_tracker_stage05		absent			medium	speaker_no_face
3	38	102.78	104.14	Guess who we ran into today.	Rachel	high	community_transcript_match	1.0	dialogue	False	True	Monica | Joey | Rachel | Chandler | Janice | Phoebe	Rachel	Monica	True	speaker_no_face	Speaker agrees with available community-transcript mapping.	Guess who we ran into today?!	Rachel	Rachel	partial	char_tracker_stage05		absent	0.0		medium	speaker_no_face
3	39	106.62	107.34	Janice.	Monica	high	community_transcript_match	1.0	dialogue	False	True	Monica | Joey | Rachel | Chandler | Janice | Phoebe	Rachel	Chandler	True	speaker_offscreen	Speaker agrees with available community-transcript mapping.	Janice?!	Monica	Monica	present	char_tracker_stage05	joey	absent	0.0		low	speaker_offscreen
3	41	109.34	110.06	How have you been?	Monica	high	community_transcript_match	1.0	dialogue	False	True	Monica | Joey | Rachel | Chandler | Janice | Phoebe	Chandler	Janice	True	speaker_offscreen	Speaker agrees with available community-transcript mapping.	How have you been?	Monica	Monica	present	char_tracker_stage05	chandler	absent	0.0		low	speaker_offscreen
