file	rows	original_missing_speaker_rows	filled_rows	review_rows	unresolved_rows	high_confidence_rows	medium_confidence_rows	low_confidence_rows	annotation_high_confidence_rows	annotation_medium_confidence_rows	annotation_low_confidence_rows	visual_present_rows	visual_partial_rows	visual_absent_rows	visual_unknown_rows	visual_unavailable_rows	speaker_offscreen_rows	visual_disambiguation_rows
friends_s02e01a_sentence_speaker_table.tsv	273	83	83	62	0	231	40	2	192	54	27	250	5	18	0	0	25	18
friends_s02e01b_sentence_speaker_table.tsv	240	50	50	44	0	209	27	4	177	46	17	218	3	19	0	0	13	17
friends_s02e02a_sentence_speaker_table.tsv	232	33	33	46	0	213	17	2	176	37	19	182	10	40	0	0	18	10
friends_s02e02b_sentence_speaker_table.tsv	169	45	45	23	0	145	22	2	127	32	10	148	4	17	0	0	8	18
friends_s02e03a_sentence_speaker_table.tsv	259	50	50	45	0	227	30	2	194	53	12	222	11	26	0	0	10	20
friends_s02e03b_sentence_speaker_table.tsv	200	34	34	36	0	170	28	2	146	36	18	178	10	12	0	0	16	18
friends_s02e04a_sentence_speaker_table.tsv	262	86	86	88	0	198	61	3	161	80	21	216	5	41	0	0	19	13
friends_s02e04b_sentence_speaker_table.tsv	207	62	62	43	0	175	30	2	150	45	12	170	9	27	1	0	10	14
friends_s02e05a_sentence_speaker_table.tsv	248	39	39	41	0	221	25	2	194	36	18	222	7	19	0	0	16	13
friends_s02e05b_sentence_speaker_table.tsv	264	37	37	59	0	230	31	3	199	39	26	232	7	25	0	0	23	6
friends_s02e06a_sentence_speaker_table.tsv	280	45	45	68	0	247	30	3	199	51	30	232	17	31	0	0	27	13
friends_s02e06b_sentence_speaker_table.tsv	197	40	39	44	1	174	21	2	144	39	14	153	10	33	1	0	12	9
friends_s02e07a_sentence_speaker_table.tsv	268	70	70	61	0	219	44	5	181	64	23	218	10	40	0	0	18	24
friends_s02e07b_sentence_speaker_table.tsv	258	92	87	66	5	195	57	6	168	64	26	231	8	19	0	0	20	21
friends_s02e08a_sentence_speaker_table.tsv	258	50	50	49	0	219	36	3	187	44	27	236	8	14	0	0	24	21
friends_s02e08b_sentence_speaker_table.tsv	229	57	57	73	0	181	48	0	145	53	31	183	8	38	0	0	31	10
friends_s02e09a_sentence_speaker_table.tsv	235	42	42	52	0	203	31	1	173	45	17	193	15	24	3	0	16	10
friends_s02e09b_sentence_speaker_table.tsv	249	46	46	62	0	226	23	0	176	36	37	219	5	25	0	0	37	11
friends_s02e10a_sentence_speaker_table.tsv	254	32	32	74	0	228	23	3	174	55	25	174	18	62	0	0	22	6
friends_s02e10b_sentence_speaker_table.tsv	278	46	46	69	0	239	38	1	194	64	20	210	14	54	0	0	19	15
friends_s02e11a_sentence_speaker_table.tsv	255	48	48	52	0	226	27	2	188	54	13	182	18	55	0	0	11	15
friends_s02e11b_sentence_speaker_table.tsv	236	34	34	41	0	208	27	1	188	37	11	191	15	30	0	0	10	7
friends_s02e12a_sentence_speaker_table.tsv	212	37	37	41	0	185	26	1	152	45	15	153	18	41	0	0	14	19
friends_s02e12b_sentence_speaker_table.tsv	242	36	36	53	0	216	21	5	175	46	21	170	21	51	0	0	16	14
friends_s02e13a_sentence_speaker_table.tsv	258	51	51	69	0	221	36	1	179	59	20	186	20	52	0	0	19	8
friends_s02e13b_sentence_speaker_table.tsv	195	31	31	63	0	171	23	1	125	60	10	122	13	59	1	0	9	5
friends_s02e14a_sentence_speaker_table.tsv	278	75	75	62	0	234	38	6	199	53	26	223	16	39	0	0	21	17
friends_s02e14b_sentence_speaker_table.tsv	252	48	48	71	0	218	27	7	171	53	28	191	8	53	0	0	21	10
friends_s02e15a_sentence_speaker_table.tsv	254	51	51	91	0	226	23	5	156	75	23	172	22	60	0	0	19	7
friends_s02e15b_sentence_speaker_table.tsv	216	57	57	64	0	171	43	2	124	83	9	160	8	45	3	0	7	26
friends_s02e16a_sentence_speaker_table.tsv	277	21	21	68	0	262	14	1	206	48	23	187	15	75	0	0	22	3
friends_s02e16b_sentence_speaker_table.tsv	263	32	32	60	0	242	21	0	194	53	16	201	14	48	0	0	16	9
friends_s02e17a_sentence_speaker_table.tsv	269	64	64	75	0	225	44	0	163	78	28	220	6	43	0	0	28	31
