file	rows	original_missing_speaker_rows	filled_rows	review_rows	unresolved_rows	high_confidence_rows	medium_confidence_rows	low_confidence_rows	annotation_high_confidence_rows	annotation_medium_confidence_rows	annotation_low_confidence_rows	visual_present_rows	visual_partial_rows	visual_absent_rows	visual_unknown_rows	visual_unavailable_rows	speaker_offscreen_rows	visual_disambiguation_rows
friends_s04e01a_sentence_speaker_table.tsv	219	36	36	80	0	196	19	4	130	64	25	164	6	47	2	0	21	7
friends_s04e01b_sentence_speaker_table.tsv	234	48	48	41	0	204	26	4	171	43	20	211	3	20	0	0	17	21
friends_s04e02a_sentence_speaker_table.tsv	232	30	30	60	0	209	22	1	159	58	15	176	13	43	0	0	14	13
friends_s04e02b_sentence_speaker_table.tsv	218	25	25	63	0	200	17	1	143	64	11	145	11	61	1	0	10	11
friends_s04e03a_sentence_speaker_table.tsv	220	20	20	29	0	202	16	2	184	27	9	175	14	31	0	0	7	7
friends_s04e03b_sentence_speaker_table.tsv	232	26	26	37	0	212	20	0	180	45	7	182	13	34	3	0	7	9
friends_s04e04a_sentence_speaker_table.tsv	211	13	13	33	0	201	10	0	170	34	7	151	27	33	0	0	7	8
friends_s04e04b_sentence_speaker_table.tsv	227	43	43	57	0	189	37	1	158	50	19	165	9	50	3	0	18	9
friends_s04e05a_sentence_speaker_table.tsv	240	40	40	65	0	209	31	0	161	64	15	185	9	44	2	0	15	11
friends_s04e05b_sentence_speaker_table.tsv	220	45	45	66	0	185	33	2	144	57	19	165	10	45	0	0	17	10
friends_s04e06a_sentence_speaker_table.tsv	236	24	24	66	0	220	16	0	163	55	18	177	13	46	0	0	18	7
friends_s04e06b_sentence_speaker_table.tsv	218	30	30	49	0	197	20	1	161	44	13	161	13	44	0	0	12	8
friends_s04e07a_sentence_speaker_table.tsv	261	39	39	46	0	231	30	0	197	55	9	216	8	37	0	0	9	18
friends_s04e07b_sentence_speaker_table.tsv	280	18	18	47	0	265	14	1	229	32	19	246	5	29	0	0	18	4
friends_s04e08a_sentence_speaker_table.tsv	268	24	24	74	0	248	18	2	184	45	39	220	12	36	0	0	37	10
friends_s04e08b_sentence_speaker_table.tsv	263	54	54	89	0	217	43	3	159	77	27	187	11	65	0	0	24	14
friends_s04e09a_sentence_speaker_table.tsv	236	30	30	52	0	217	17	2	173	44	19	171	18	47	0	0	17	11
friends_s04e09b_sentence_speaker_table.tsv	228	36	36	46	0	206	20	2	171	43	14	189	13	26	0	0	12	10
friends_s04e10a_sentence_speaker_table.tsv	253	31	31	50	0	228	23	2	191	44	18	218	14	21	0	0	16	12
friends_s04e10b_sentence_speaker_table.tsv	211	41	41	50	0	184	25	2	152	50	9	165	13	33	0	0	7	9
friends_s04e11a_sentence_speaker_table.tsv	253	37	37	55	0	221	31	1	190	49	14	191	15	47	0	0	14	8
friends_s04e11b_sentence_speaker_table.tsv	259	59	59	59	0	229	27	3	192	43	24	212	16	31	0	0	21	8
friends_s04e12a_sentence_speaker_table.tsv	223	27	27	46	0	205	16	2	166	38	19	184	8	31	0	0	17	11
friends_s04e12b_sentence_speaker_table.tsv	265	58	58	60	0	232	30	3	194	51	20	224	9	30	2	0	17	11
friends_s04e13a_sentence_speaker_table.tsv	248	26	26	71	0	232	16	0	172	51	25	189	8	51	0	0	25	5
friends_s04e13b_sentence_speaker_table.tsv	256	45	45	83	0	234	20	2	172	54	30	190	3	63	0	0	28	1
friends_s04e14a_sentence_speaker_table.tsv	305	67	67	97	0	261	42	2	191	90	24	211	15	79	0	0	22	17
friends_s04e14b_sentence_speaker_table.tsv	279	54	54	78	0	237	36	6	181	73	25	215	8	56	0	0	19	20
friends_s04e15a_sentence_speaker_table.tsv	257	34	34	55	0	234	19	4	189	55	13	181	19	54	3	0	9	10
friends_s04e15b_sentence_speaker_table.tsv	255	35	35	50	0	227	28	0	191	57	7	181	11	63	0	0	7	14
friends_s04e16a_sentence_speaker_table.tsv	270	38	38	63	0	238	30	2	193	47	30	223	10	37	0	0	29	14
friends_s04e16b_sentence_speaker_table.tsv	222	52	51	38	1	191	30	1	166	48	8	192	5	25	0	0	7	18
friends_s04e17a_sentence_speaker_table.tsv	247	34	34	52	0	225	21	1	181	49	17	170	17	60	0	0	16	14
friends_s04e17b_sentence_speaker_table.tsv	250	49	49	63	0	212	37	1	170	64	16	189	14	46	1	0	15	15
friends_s04e18a_sentence_speaker_table.tsv	247	48	48	55	0	217	26	4	182	54	11	190	8	49	0	0	9	10
friends_s04e18b_sentence_speaker_table.tsv	243	43	43	45	0	222	20	1	187	40	16	170	13	57	3	0	16	9
friends_s04e19a_sentence_speaker_table.tsv	266	42	42	53	0	243	19	4	199	52	15	216	10	40	0	0	11	14
friends_s04e19b_sentence_speaker_table.tsv	240	53	53	67	0	199	39	2	156	65	19	186	5	48	1	0	17	17
friends_s04e20a_sentence_speaker_table.tsv	248	45	45	72	0	209	38	1	154	71	23	201	8	39	0	0	22	22
friends_s04e20b_sentence_speaker_table.tsv	207	34	34	61	0	179	28	0	128	66	13	149	12	46	0	0	13	18
friends_s04e21a_sentence_speaker_table.tsv	243	43	43	56	0	210	31	2	173	56	14	202	10	31	0	0	12	13
friends_s04e21b_sentence_speaker_table.tsv	244	68	57	72	11	200	30	14	166	49	29	203	5	36	0	0	15	6
