file	rows	original_missing_speaker_rows	filled_rows	review_rows	unresolved_rows	high_confidence_rows	medium_confidence_rows	low_confidence_rows	annotation_high_confidence_rows	annotation_medium_confidence_rows	annotation_low_confidence_rows	visual_present_rows	visual_partial_rows	visual_absent_rows	visual_unknown_rows	visual_unavailable_rows	speaker_offscreen_rows	visual_disambiguation_rows
friends_s05e01a_sentence_speaker_table.tsv	220	25	25	54	0	205	13	2	161	39	20	175	14	31	0	0	19	5
friends_s05e01b_sentence_speaker_table.tsv	252	43	43	80	0	230	20	2	166	63	23	194	10	48	0	0	21	6
friends_s05e02a_sentence_speaker_table.tsv	276	62	62	75	0	229	46	1	174	78	24	227	15	34	0	0	23	27
friends_s05e02b_sentence_speaker_table.tsv	280	41	39	73	2	244	34	2	192	58	30	245	6	28	1	0	28	13
friends_s05e03a_sentence_speaker_table.tsv	252	42	42	40	0	225	26	1	198	47	7	214	13	25	0	0	7	14
friends_s05e03b_sentence_speaker_table.tsv	246	51	51	63	0	197	48	1	171	62	13	191	8	47	0	0	12	11
friends_s05e04a_sentence_speaker_table.tsv	251	44	44	49	0	215	36	0	179	62	10	199	8	44	0	0	10	22
friends_s05e04b_sentence_speaker_table.tsv	233	35	35	59	0	213	18	2	165	48	20	187	10	36	0	0	18	9
friends_s05e05a_sentence_speaker_table.tsv	237	23	23	64	0	223	14	0	166	41	30	203	8	26	0	0	30	7
friends_s05e05b_sentence_speaker_table.tsv	273	25	25	60	0	256	16	1	207	43	23	241	9	23	0	0	22	6
friends_s05e06a_sentence_speaker_table.tsv	201	26	26	48	0	178	22	1	139	55	7	160	6	35	0	0	6	14
friends_s05e06b_sentence_speaker_table.tsv	277	51	51	72	0	246	29	2	199	52	26	226	13	37	1	0	24	5
friends_s05e07a_sentence_speaker_table.tsv	211	9	9	48	0	203	7	1	160	37	14	162	17	32	0	0	13	3
friends_s05e07b_sentence_speaker_table.tsv	248	42	42	72	0	210	37	1	165	63	20	200	11	37	0	0	20	11
friends_s05e08a_sentence_speaker_table.tsv	218	30	30	52	0	193	24	1	159	49	10	179	7	32	0	0	9	5
friends_s05e08b_sentence_speaker_table.tsv	249	38	38	50	0	223	22	4	188	42	19	204	15	29	1	0	15	11
friends_s05e09a_sentence_speaker_table.tsv	211	30	30	38	0	190	20	1	162	35	14	179	13	19	0	0	13	10
friends_s05e09b_sentence_speaker_table.tsv	248	14	14	35	0	237	11	0	209	30	9	212	11	25	0	0	9	4
friends_s05e10a_sentence_speaker_table.tsv	237	28	28	76	0	221	12	4	156	51	30	188	12	37	0	0	27	5
friends_s05e10b_sentence_speaker_table.tsv	259	17	17	52	0	242	17	0	201	39	19	198	12	49	0	0	19	6
friends_s05e11a_sentence_speaker_table.tsv	258	40	40	56	0	228	30	0	186	48	24	231	6	21	0	0	24	16
friends_s05e11b_sentence_speaker_table.tsv	244	35	35	58	0	220	23	1	177	41	26	214	13	17	0	0	25	9
friends_s05e12a_sentence_speaker_table.tsv	243	30	30	49	0	224	17	2	185	44	14	195	12	35	1	0	12	8
friends_s05e12b_sentence_speaker_table.tsv	229	30	30	40	0	205	21	3	177	33	19	193	16	20	0	0	16	12
