file	rows	original_missing_speaker_rows	filled_rows	review_rows	unresolved_rows	high_confidence_rows	medium_confidence_rows	low_confidence_rows	annotation_high_confidence_rows	annotation_medium_confidence_rows	annotation_low_confidence_rows	visual_present_rows	visual_partial_rows	visual_absent_rows	visual_unknown_rows	visual_unavailable_rows	speaker_offscreen_rows	visual_disambiguation_rows
friends_s03e01a_sentence_speaker_table.tsv	253	43	43	60	0	228	22	3	181	51	21	214	8	31	0	0	18	11
friends_s03e01b_sentence_speaker_table.tsv	235	36	36	40	0	208	25	2	184	38	13	194	11	30	0	0	11	11
friends_s03e02a_sentence_speaker_table.tsv	351	60	60	136	0	320	27	4	200	99	52	260	12	79	0	0	49	15
friends_s03e02b_sentence_speaker_table.tsv	313	86	86	83	0	262	48	3	206	74	33	265	7	40	1	0	30	24
friends_s03e03a_sentence_speaker_table.tsv	261	57	57	73	0	232	28	1	170	72	19	194	12	55	0	0	18	18
friends_s03e03b_sentence_speaker_table.tsv	240	56	49	51	7	207	25	8	180	28	32	210	6	24	0	0	24	7
friends_s03e04a_sentence_speaker_table.tsv	284	78	78	66	0	241	41	2	193	65	26	237	15	31	1	0	24	24
friends_s03e04b_sentence_speaker_table.tsv	279	55	55	48	0	243	31	5	205	53	21	240	8	27	4	0	16	23
friends_s03e05a_sentence_speaker_table.tsv	258	31	31	67	0	236	19	3	178	55	25	206	7	45	0	0	22	12
friends_s03e05b_sentence_speaker_table.tsv	258	59	59	97	0	233	23	2	151	78	29	141	20	92	5	0	27	6
friends_s03e06a_sentence_speaker_table.tsv	258	43	43	57	0	233	24	1	192	45	21	208	6	44	0	0	20	9
friends_s03e06b_sentence_speaker_table.tsv	219	46	46	70	0	192	24	3	136	59	24	176	7	36	0	0	21	13
friends_s03e07a_sentence_speaker_table.tsv	257	59	59	76	0	221	32	4	167	69	21	190	17	47	3	0	17	11
friends_s03e07b_sentence_speaker_table.tsv	253	66	66	56	0	205	46	2	178	66	9	185	10	57	1	0	7	18
friends_s03e08a_sentence_speaker_table.tsv	304	81	81	80	0	262	37	5	202	68	34	249	9	46	0	0	29	22
friends_s03e08b_sentence_speaker_table.tsv	194	42	42	49	0	174	17	3	133	42	19	152	11	31	0	0	16	12
friends_s03e09a_sentence_speaker_table.tsv	329	72	72	142	0	277	44	8	173	98	58	243	10	76	0	0	51	13
friends_s03e09b_sentence_speaker_table.tsv	263	48	47	106	1	224	36	3	141	84	38	195	15	53	0	0	35	16
friends_s03e10a_sentence_speaker_table.tsv	223	30	30	51	0	195	26	2	163	47	13	177	11	34	1	0	11	8
friends_s03e10b_sentence_speaker_table.tsv	208	45	45	56	0	176	30	2	132	61	15	153	9	41	5	0	13	15
friends_s03e11a_sentence_speaker_table.tsv	264	42	42	79	0	235	28	1	173	57	34	212	7	44	1	0	34	11
friends_s03e11b_sentence_speaker_table.tsv	280	51	51	56	0	259	20	1	214	46	20	237	6	37	0	0	19	10
friends_s03e12a_sentence_speaker_table.tsv	278	45	45	62	0	251	24	3	204	46	28	227	9	41	1	0	26	12
friends_s03e12b_sentence_speaker_table.tsv	222	41	41	36	0	190	29	3	171	40	11	182	9	31	0	0	8	14
friends_s03e13a_sentence_speaker_table.tsv	271	40	40	76	0	236	33	2	174	71	26	208	5	54	4	0	24	18
friends_s03e13b_sentence_speaker_table.tsv	215	33	30	39	3	198	12	5	171	32	12	151	9	55	0	0	7	5
friends_s03e14a_sentence_speaker_table.tsv	234	48	48	46	0	201	31	2	179	42	13	198	9	27	0	0	11	9
friends_s03e14b_sentence_speaker_table.tsv	207	55	55	46	0	167	40	0	140	53	14	174	8	25	0	0	14	21
friends_s03e15a_sentence_speaker_table.tsv	265	47	47	75	0	226	35	4	181	62	22	212	12	41	0	0	18	9
friends_s03e15b_sentence_speaker_table.tsv	231	44	42	41	2	198	31	2	175	44	12	194	11	26	0	0	10	14
friends_s03e16a_sentence_speaker_table.tsv	282	33	33	79	0	266	14	2	194	57	31	217	13	52	0	0	29	8
friends_s03e16b_sentence_speaker_table.tsv	238	53	53	86	0	199	37	2	145	53	40	198	10	30	0	0	38	7
friends_s03e17a_sentence_speaker_table.tsv	265	42	42	87	0	237	25	3	162	73	30	210	4	48	3	0	27	13
friends_s03e17b_sentence_speaker_table.tsv	281	65	65	88	0	241	36	4	174	64	43	223	15	42	1	0	39	17
friends_s03e18a_sentence_speaker_table.tsv	255	50	50	57	0	212	43	0	185	55	15	190	13	52	0	0	15	13
friends_s03e18b_sentence_speaker_table.tsv	259	61	60	50	1	226	29	4	198	51	10	156	16	87	0	0	6	10
friends_s03e19a_sentence_speaker_table.tsv	217	21	21	34	0	207	8	2	176	33	8	149	17	51	0	0	6	7
friends_s03e19b_sentence_speaker_table.tsv	226	45	45	48	0	202	19	5	167	39	20	164	14	48	0	0	15	11
friends_s03e20a_sentence_speaker_table.tsv	252	13	13	51	0	242	8	2	189	49	14	175	14	57	6	0	12	5
friends_s03e20b_sentence_speaker_table.tsv	242	39	39	55	0	215	27	0	176	60	6	164	15	63	0	0	6	11
friends_s03e21a_sentence_speaker_table.tsv	273	24	24	67	0	255	18	0	196	57	20	212	14	47	0	0	20	10
friends_s03e21b_sentence_speaker_table.tsv	278	31	31	60	0	260	18	0	206	46	26	240	5	33	0	0	26	11
friends_s03e22a_sentence_speaker_table.tsv	287	41	41	75	0	269	16	2	205	55	27	217	7	62	1	0	25	6
friends_s03e22b_sentence_speaker_table.tsv	261	71	71	61	0	210	50	1	182	73	6	172	15	74	0	0	5	17
friends_s03e23a_sentence_speaker_table.tsv	296	52	52	72	0	253	40	3	207	67	22	234	6	56	0	0	19	14
friends_s03e23b_sentence_speaker_table.tsv	218	35	34	28	1	189	28	1	175	40	3	151	18	49	0	0	2	15
friends_s03e24a_sentence_speaker_table.tsv	280	58	58	61	0	241	34	5	210	50	20	197	13	70	0	0	15	9
friends_s03e24b_sentence_speaker_table.tsv	245	48	48	41	0	215	28	2	189	46	10	162	11	72	0	0	8	15
friends_s03e25a_sentence_speaker_table.tsv	303	38	38	93	0	276	26	1	198	65	40	248	9	46	0	0	39	12
friends_s03e25b_sentence_speaker_table.tsv	231	42	42	47	0	201	28	2	170	45	16	193	8	27	3	0	14	11
