file	rows	original_missing_speaker_rows	filled_rows	review_rows	unresolved_rows	high_confidence_rows	medium_confidence_rows	low_confidence_rows	annotation_high_confidence_rows	annotation_medium_confidence_rows	annotation_low_confidence_rows	visual_present_rows	visual_partial_rows	visual_absent_rows	visual_unknown_rows	visual_unavailable_rows	speaker_offscreen_rows	visual_disambiguation_rows
friends_s07e01a_sentence_speaker_table.tsv	227	34	34	48	0	198	27	2	164	50	13	201	5	21	0	0	11	15
friends_s07e01b_sentence_speaker_table.tsv	295	45	45	66	0	266	25	4	212	56	27	259	9	26	1	0	23	16
friends_s07e02a_sentence_speaker_table.tsv	217	15	15	46	0	203	14	0	163	35	19	182	16	19	0	0	19	8
friends_s07e02b_sentence_speaker_table.tsv	249	26	25	48	1	230	16	3	192	41	16	214	6	29	0	0	13	9
friends_s07e03a_sentence_speaker_table.tsv	224	12	12	42	0	213	11	0	175	33	16	198	5	21	0	0	16	7
friends_s07e03b_sentence_speaker_table.tsv	237	24	24	31	0	217	17	3	192	34	11	216	9	12	0	0	8	13
friends_s07e04a_sentence_speaker_table.tsv	249	29	29	44	0	224	23	2	195	39	15	206	10	33	0	0	13	10
friends_s07e04b_sentence_speaker_table.tsv	268	44	44	45	0	243	24	1	211	31	26	231	7	30	0	0	25	12
friends_s07e05a_sentence_speaker_table.tsv	240	28	28	43	0	223	15	2	192	28	20	214	8	18	0	0	18	3
friends_s07e05b_sentence_speaker_table.tsv	262	33	33	37	0	237	22	3	208	39	15	221	12	29	0	0	12	17
friends_s07e06a_sentence_speaker_table.tsv	231	22	22	30	0	216	15	0	190	24	17	216	6	9	0	0	17	11
friends_s07e06b_sentence_speaker_table.tsv	253	43	43	49	0	233	16	4	195	34	24	232	9	12	0	0	20	8
friends_s07e07a_sentence_speaker_table.tsv	268	29	29	47	0	245	21	2	209	50	9	215	6	46	1	0	7	11
friends_s07e07b_sentence_speaker_table.tsv	253	55	54	48	1	214	34	5	192	45	16	190	11	52	0	0	11	13
friends_s07e08a_sentence_speaker_table.tsv	247	16	16	46	0	236	11	0	194	38	15	216	11	20	0	0	15	7
friends_s07e08b_sentence_speaker_table.tsv	285	54	54	60	0	242	42	1	203	72	10	228	9	48	0	0	9	22
friends_s07e09a_sentence_speaker_table.tsv	224	20	20	51	0	207	17	0	164	45	15	182	10	32	0	0	15	8
friends_s07e09b_sentence_speaker_table.tsv	269	40	40	48	0	251	17	1	214	45	10	208	17	43	1	0	9	7
