file	rows	original_missing_speaker_rows	filled_rows	review_rows	unresolved_rows	high_confidence_rows	medium_confidence_rows	low_confidence_rows	annotation_high_confidence_rows	annotation_medium_confidence_rows	annotation_low_confidence_rows	visual_present_rows	visual_partial_rows	visual_absent_rows	visual_unknown_rows	visual_unavailable_rows	speaker_offscreen_rows	visual_disambiguation_rows
friends_s01e01a_sentence_speaker_table.tsv	315	70	70	105	0	268	46	1	196	96	23	240	12	63	0	0	22	14
friends_s01e01b_sentence_speaker_table.tsv	309	63	63	88	0	274	33	2	208	68	33	250	13	46	0	0	31	13
friends_s01e02a_sentence_speaker_table.tsv	231	41	41	135	0	203	25	3	92	51	88	178	10	40	3	0	86	4
friends_s01e02b_sentence_speaker_table.tsv	245	41	41	142	0	222	20	3	98	35	112	204	4	35	2	0	111	3
friends_s01e03a_sentence_speaker_table.tsv	271	49	49	199	0	233	31	7	64	70	137	211	6	54	0	0	134	7
friends_s01e03b_sentence_speaker_table.tsv	234	41	38	172	3	210	17	7	58	52	124	174	12	48	0	0	118	4
friends_s01e04a_sentence_speaker_table.tsv	281	58	58	205	0	240	38	3	57	66	158	224	8	30	19	0	158	5
friends_s01e04b_sentence_speaker_table.tsv	293	53	50	191	3	253	33	7	69	76	148	217	8	44	24	0	144	10
friends_s01e05a_sentence_speaker_table.tsv	281	59	59	174	0	248	29	4	94	86	101	203	12	66	0	0	98	13
friends_s01e05b_sentence_speaker_table.tsv	280	59	59	201	0	245	34	1	70	74	136	204	8	68	0	0	136	9
friends_s01e06a_sentence_speaker_table.tsv	289	57	57	199	0	248	35	6	78	84	127	207	10	71	1	0	123	10
friends_s01e06b_sentence_speaker_table.tsv	252	55	55	194	0	212	35	5	54	74	124	168	15	69	0	0	122	4
friends_s01e07a_sentence_speaker_table.tsv	249	54	54	70	0	209	35	5	166	64	19	203	6	40	0	0	14	11
friends_s01e07b_sentence_speaker_table.tsv	227	42	42	66	0	194	31	2	153	62	12	178	2	47	0	0	10	7
friends_s01e08a_sentence_speaker_table.tsv	236	41	41	45	0	203	31	2	177	52	7	163	13	60	0	0	5	14
friends_s01e08b_sentence_speaker_table.tsv	214	24	24	49	0	198	16	0	156	47	11	146	17	50	1	0	11	8
friends_s01e09a_sentence_speaker_table.tsv	223	30	30	56	0	206	17	0	160	46	17	175	11	37	0	0	17	7
friends_s01e09b_sentence_speaker_table.tsv	244	64	64	92	0	209	33	2	141	71	32	182	13	49	0	0	30	11
friends_s01e10a_sentence_speaker_table.tsv	279	52	52	67	0	239	39	1	189	68	22	220	14	45	0	0	21	23
friends_s01e10b_sentence_speaker_table.tsv	265	69	69	58	0	215	46	4	192	66	7	195	11	58	1	0	3	15
friends_s01e11a_sentence_speaker_table.tsv	263	38	38	66	0	231	30	2	188	55	20	200	13	50	0	0	18	8
friends_s01e11b_sentence_speaker_table.tsv	296	59	59	73	0	255	36	5	208	57	31	247	5	44	0	0	26	15
friends_s01e12a_sentence_speaker_table.tsv	242	45	45	60	0	211	31	0	172	54	16	191	11	40	0	0	16	10
friends_s01e12b_sentence_speaker_table.tsv	240	50	50	64	0	208	30	2	157	56	27	202	9	29	0	0	25	19
friends_s01e13a_sentence_speaker_table.tsv	267	47	47	44	0	236	28	3	206	51	10	191	17	52	7	0	7	12
friends_s01e13b_sentence_speaker_table.tsv	241	50	50	44	0	213	25	3	184	44	13	181	13	47	0	0	10	11
friends_s01e14a_sentence_speaker_table.tsv	244	34	34	70	0	220	23	1	164	60	20	181	14	49	0	0	19	10
friends_s01e14b_sentence_speaker_table.tsv	236	68	68	50	0	200	35	1	164	67	5	149	16	65	6	0	4	16
friends_s01e15a_sentence_speaker_table.tsv	253	51	51	65	0	216	36	1	178	45	30	218	12	23	0	0	29	10
friends_s01e15b_sentence_speaker_table.tsv	252	66	66	67	0	217	32	3	170	58	24	201	5	46	0	0	22	15
friends_s01e16a_sentence_speaker_table.tsv	284	35	35	46	0	255	29	0	215	62	7	216	10	51	7	0	7	16
friends_s01e16b_sentence_speaker_table.tsv	274	55	55	75	0	222	50	2	192	69	13	211	11	52	0	0	11	7
friends_s01e17a_sentence_speaker_table.tsv	286	42	41	57	1	253	30	3	216	55	15	220	15	50	1	0	12	12
friends_s01e17b_sentence_speaker_table.tsv	268	40	40	54	0	241	27	0	206	37	25	218	8	42	0	0	25	8
friends_s01e18a_sentence_speaker_table.tsv	277	50	50	82	0	239	34	4	182	64	31	221	12	44	0	0	27	12
friends_s01e18b_sentence_speaker_table.tsv	264	54	54	61	0	238	25	1	194	44	26	230	7	27	0	0	25	9
friends_s01e19a_sentence_speaker_table.tsv	290	70	70	78	0	237	51	2	200	69	21	254	5	31	0	0	19	11
friends_s01e19b_sentence_speaker_table.tsv	294	66	66	86	0	257	32	5	192	79	23	210	5	79	0	0	18	15
friends_s01e20a_sentence_speaker_table.tsv	266	50	50	84	0	229	35	2	172	64	30	206	12	48	0	0	28	10
friends_s01e20b_sentence_speaker_table.tsv	253	45	45	69	0	227	24	2	172	62	19	151	18	84	0	0	17	11
friends_s01e21a_sentence_speaker_table.tsv	249	40	40	56	0	229	18	2	188	45	16	194	8	47	0	0	14	5
friends_s01e21b_sentence_speaker_table.tsv	211	47	47	44	0	176	33	2	156	45	10	158	19	34	0	0	8	10
friends_s01e22a_sentence_speaker_table.tsv	259	43	43	71	0	224	33	2	176	57	26	207	15	36	1	0	24	11
friends_s01e22b_sentence_speaker_table.tsv	256	54	54	79	0	214	41	1	165	64	27	198	9	49	0	0	26	12
friends_s01e23a_sentence_speaker_table.tsv	327	67	67	81	0	275	50	2	224	90	13	222	14	87	4	0	11	20
friends_s01e23b_sentence_speaker_table.tsv	256	80	79	64	1	205	45	6	178	61	17	173	13	70	0	0	11	14
friends_s01e24a_sentence_speaker_table.tsv	272	41	41	68	0	238	33	1	187	55	30	241	6	22	3	0	29	16
friends_s01e24b_sentence_speaker_table.tsv	278	33	33	70	0	253	23	2	201	60	17	208	12	58	0	0	15	7
