scene_id	scene_desc	start	end	shot_ids
18	Phoebe's Grandmother enters	0.08	11.44	1,3
20	Chandler is standing on a street corner waiting for Phoebe in the cab. Joey walks up.	12.16	30.40	3,4,5,6,7,8,9
21	Phoebe drives up in the cab	32.56	38.32	10
22	Phoebe runs over the curb. Joey gets in the back seat, Chandler in the front	40.16	82.99	11,12,13,14,15,16,17,18,19,23
23	Monica and Rachel's apartment. Monica is preparing for the party with Ross questioning her.	83.15	88.91	23,24
24	Rachel enters from her room	91.72	178.38	25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
25	Outside Phoebe's dad's house. The cab pulls up.	181.50	211.59	42,43,44,45,46,47,48,49
26	Monica and Rachel's apartment. They are having their party. All the guests are stripped down because of the heat.	225.19	293.48	52,54,55,57,59,60,61,63,64,65,68,69,70,71,73,74
27	Ross is speaking to Monica and Rachel about tipping the super.	293.48	314.47	74,75,76
28	Gives him the cash.	314.95	414.97	76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,96
29	Outside Phoebe's dad's house. Phoebe is running back to the cab. Joey and Chandler are sleeping.	417.53	543.02	96,97,98,99,100,101,102,103,104,105,106,107,109,110,111,112
30	Monica and Rachel's apartment. Ross, Monica, and Rachel are sitting around after the party. Chandler, Joey, and Phoebe enter.	543.02	577.64	112,114,115,116,117,118,119,121
32	Monica and Rachel's apartment.  Everyone is there. Monica has just finished getting Ross’ gift.	590.04	656.31	124,125,127,128,129,130,131,134,135,136,137,138,139,140,142
