scene_id	scene_desc	start	end	shot_ids
1	Ross'. Carol and Susan are picking Ben up	0.24	0.64	1
8	Central Perk. Everyone is there comforting Rachel.	0.64	91.38	1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,23,25
10	Monica and Rachel’s. Monica is in the pictures while Rachel and Mrs. Green are looking at pictures in the living room.	97.54	250.80	26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,42,43,44,45,46,47,48,49,50,51,53,54,55,56,57,58,59,60,61,62,63,64,65
11	Monica and Rachel’s. Everyone is there (minus Rachel) helping Monica in the kitchen, except Ross, who is sitting on the couch.	254.96	316.30	65,66,67,68,69,70,73,74,77
12	There’s a knock at the door.	316.30	417.33	77,78,79,80,81,82,83,84,86,87,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,106
13	The Wedding Ceremony	428.96	454.80	108,109
14	Wedding music starts, and Phoebe noisily unwraps a piece of candy.	466.08	471.84	113,114
15	Monica pushes Ben down the aisle in a stroller. Susan is escorted by both her parents. Carol is escorted by Ross.	481.12	544.93	116,124,125,127,128,129,130,132,133
16	Time Lapse. At the reception, Monica and Ross watch Carol and Susan getting their picture taken.	547.57	596.19	133,136,138,139,140,141,142,143,144
17	Chandler tries to warn Phoebe that the woman is coming on to her, but Phoebe doesn't see him.	604.60	631.24	146,148,149
18	Susan approaches Ross, who's looking lonely.	636.63	661.13	150,152,153,154,155
19	They dance; Carol looks on lovingly.	675.13	689.24	159
21	Monica and Rachel’s. The gang is there along with Ben.	689.96	718.58	159,160,161,162,163,164,165,167,171
