scene_id	scene_desc	start	end	shot_ids
2	Chandler wakes up	7.68	81.17	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
3	"Eddie leaves the room and Chandler mouths ""Thank you"" to himself"	84.37	85.33	17
5	Central Perk. Monica and Rachel are there, Joey enters wearing an old looking hat.	97.90	140.04	20,21,22,23,24,25,26,27,28,29
6	Monica sees Joey’s hat on the table anxious to put it on.	144.13	146.05	30
7	Monica puts it on and smiles happily.	153.25	154.45	32
8	Phoebe enters	155.97	239.90	33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,49,50,51,53,54,55,57
9	Estelle Leonard Talent Agency. Joey is there.	247.58	332.95	58,59,60,62,63,64,65,66,67,68,69,71,72,73,75,76,77
10	Central Perk. Monica, Phoebe, and Rachel are there. Rachel has just finished reading the book.	332.95	430.80	77,78,79,80,81,82,84,85,86,87,88,90,91,92,93,98,99,100,101
11	Joey's apartment. Joey and Ross enter.	437.36	571.66	102,103,104,105,106,107,108,109,110,111,112,113,114,115,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131
12	Hallway: Chandler comes up the stairs walking slowly and carefully to his apartment watching out for Eddie. Chandler makes it to his apartment. Chandler’s apartment. Chandler peeks in the door. He doesn't see Eddie so he enters, breathing a sigh of relief. Eddie pops up from behind the bar.	595.32	649.40	134,135,136,137,138,139,141,142,143,144,145,146,147,148,149
13	Central Perk. Joey goes up to the bar to order.	653.88	679.16	150,151,152,153,154,155,156,157
15	Chandler wakes up	702.37	705.17	163,164
