scene_id	scene_desc	start	end	shot_ids
1	Monica and Rachel's apartment. Everyone except Ross is there watching Days of Our Lives.	2.80	31.57	1,2,3,4,5
2	Ross enters	32.69	47.89	6,7,8
3	Everyone gasps. The show ends.	53.41	73.43	11,12,13,14,16
5	Chandler and Eddie's apartment. Chandler is at the foosball table trying to get Phoebe to play a game with him.	84.96	172.42	19,20,21,23,24,25,26,27,28,29,30,31,32,33,35,38,39
6	Time lapse. Chandler and Eddie are talking.	172.42	223.18	39,40,41,42,43,44,45,46,47,48,49,51
7	Central Perk. Phoebe is singing. Monica, Richard, Ross, and Rachel are listening.	228.46	301.24	52,55,56,57,58,59,60,61,62,63,64,65,66,68,69,70,71
8	Chandler and Eddie's apartment. Chandler is there. There's a knock at the door. He answers it to see a young woman holding a fish tank.	308.09	364.11	73,74,75,76,78,79,80,81,84,86,87,88
9	awkward pause	369.15	374.75	89,90,91
10	Tilly leaves	377.79	380.91	91,92
11	Central Perk. Joey enters with several magazines and runs up to Phoebe.	384.19	460.41	94,95,96,97,98,99,100,101,102,103,105,106
12	At a Writer's desk. The Writer is working on a script for Days of Our Lives.	460.89	466.50	106
13	Joey's apartment. The next script is being delivered.	466.82	501.63	106,107,108,109,110,111,112,113,114,115
14	Monica and Rachel's apartment. Monica, Richard, Ross, and Rachel are returning.	508.11	570.70	117,118,119,120,121,122,123,124,125,126,127,128
15	Rachel's bedroom	575.66	634.24	129,130,131,132,133,134,135,136,137,139
16	Chandler and Eddie's apartment.	636.32	676.03	140,141,142,143,144,145,146,147,148,149,150
