scene_id	scene_desc	start	end	shot_ids
20	Chandler's apartment. Chandler is sitting on the bar, bouncing a ball against the door. Joey walks in right as he throws the ball and catches it.	0.72	35.91	1,2,3,4,5,7,8,10,12,13
21	Monica and Rachel's apartment. Monica, Rachel, and Ross are there.	43.11	50.79	13,14
22	Phoebe enters	53.03	68.69	15,16,18
23	The video begins.	72.93	80.93	20,22,23
24	Phoebe appears in the video.	90.03	97.55	27,28,29,31
25	Phoebe starts singing in the video and her voice is obviously dubbed. Everyone is in disbelief.	98.43	136.89	32,36,37,39,41,42,43,44,51
26	Cut back to the video	137.77	153.21	52,54,55
28	Chandler and Eddie's apartment. Joey is going to open the door but remembers he doesn’t live there anymore and decides to knock. Eddie lets him in.. Chandler is reading the paper and Eddie is fixing eggs.	171.19	308.38	60,61,62,63,64,65,68,69,70,71,72,73,74,75,76,77,78,80,81,82,83,84,85,86,87,88,89,90,91,93,94,95,96
29	Monica and Rachel's apartment. Ross and Monica are fighting over the remote.	313.50	456.70	98,99,100,101,102,103,104,105,106,108,109,111,112,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,134
31	Phoebe enters	464.20	535.36	135,137,138,139,140,141,142,143,144,145,146,147,148,149,150,152,153,154,156
32	Chandler and Eddie's apartment.	537.92	649.15	158,159,160,161,162,163,164,165,175,176
38	Central Perk. Phoebe is preparing to sing.	649.15	713.79	176,177,178,183,186,189,190,192,193,194,199
