scene_id	scene_desc	start	end	shot_ids
15	Monica walks into the kitchen where Richard is.	6.32	14.48	3,4,5
16	Mrs. Geller and Ross both enter	15.36	160.62	5,6,7,8,9,10,11,12,13,14,15,16,18,21,22,24,25,27,28,29,30,31,32,33,34,35,36,37,38,45
18	Tattoo parlor. Rachel is showing Phoebe her tattoo.	160.94	229.16	45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,64
19	Chandler and Joey's apartment. Chandler is at the bar and Joey enters.	229.16	345.81	64,65,66,67,68,69,70,71,72,73,74,75,76,78,79,80,81,84,85,86,88,89,90,91,92,93,94,95
20	Monica and Rachel's apartment. Monica and Richard are setting the table.	350.21	359.89	97,98,99
21	Rachel and Phoebe enter.	359.97	475.86	99,100,101,102,103,104,105,106,107,108,109,111,112,114,115,116,117,118,119,120,121,123,124,126,127,129,130,131,132,133,134,135
22	Chandler's apartment. Chandler and Joey are playing foosball for the table.	482.58	498.88	137,138,139,140,141
23	Chandler's apartment. The whole gang is helping Joey pack.	512.40	563.57	143,144,145,146,149,150,151,152,153,154,155,156,158,159
24	Everyone except Joey and Chandler leave.	572.15	592.71	159,160,161,162,163,164
25	Joey walks to the door. He stops, turns around.	596.15	623.62	165,166,167,168,171
28	Monica and Rachel’s. There is a knock at the door and Monica answers it.	647.21	700.56	174,175,176,177,178,181,182,183,184,185,186,187,188,189
