scene_id	sentence_id	start	end	utterance	speaker	utterance_ct	speaker_ct	visual_presence	visual_presence_source	visual_presence_chars	speaker_visual_presence	speaker_visual_ratio	visual_presence_note	annotation_confidence	annotation_review_reason
28	1	1.68	2.48	So, what are you gonna do?	Chandler	So what are you gonna do?	Chandler	present	char_tracker_stage05	ross	absent	0.0000		low	speaker_offscreen
28	2	2.48	3.44	You have to tell her.	Ross	You have to tell her	Ross	present	char_tracker_stage05	ross	present	1.0000		medium	
28	3	3.44	4.4	You have to tell her.	Ross	You have to tell her	Ross	present	char_tracker_stage05	ross	present	1.0000		medium	
28	4	4.4	6.96	It's your moral obligation as a friend, As a woman.	Ross	You have to tell her! You have to tell her! It's your moral obligation, as a friend, as a woman, I think it's a feminist issue! Guys? Guys? (waiting for guys to chime in)	Ross	present	char_tracker_stage05	chandler|ross	present	1.0000		medium	
28	5	6.96	8.28	I think it's a feminist issue.	Ross	you have to tell her you have to tell her i think it's a feminist issue guys guys	Ross	present	char_tracker_stage05	chandler|ross	present	1.0000		low	low_speaker_confidence
28	6	8.28	8.72	Guys.				present	char_tracker_stage05	chandler|phoebe|ross	unknown			low	missing_speaker
28	7	8.8	9.28	Guys.				present	char_tracker_stage05	chandler|phoebe|ross	unknown			low	missing_speaker
28	8	9.84	10.56	Oh, yeah.	Chandler	oh yeah	Chandler	present	char_tracker_stage05	chandler|phoebe	present	1.0000		low	low_speaker_confidence
28	9	10.56	11.36	You have to tell her.	Chandler	Oh, yeah, you have to tell her.	Chandler	present	char_tracker_stage05	chandler|joey|phoebe|ross	present	1.0000		high	
28	10	11.6	12.32	Feminist issue.	Joey	Feminist issue	Joey	present	char_tracker_stage05	chandler|joey|ross	present	1.0000		medium	
28	11	12.32	13.12	That's where I went.	Joey	Feminist issue. That's where I went!	Joey	present	char_tracker_stage05	chandler|joey|phoebe|ross	present	1.0000		high	
28	12	15.44	16.8	She is gonna hate me.	Phoebe	She is gonna hate me.	Phoebe	present	char_tracker_stage05	chandler|phoebe|ross	present	1.0000		high	
28	13	16.8	17.16	Yeah.	Ross	(sympathetic yet...) Yeah, well...	Ross	present	char_tracker_stage05	chandler|phoebe|ross	present	1.0000		medium	
28	14	17.16	26.92	Well, will you pick one?	Joey	will you pick one	Joey	partial	char_tracker_stage05		partial	0.2000		low	partial_visual_presence
29	15	26.92	28.22	Just pick one.	Joey	Will you pick one, just pick one	Joey	partial	char_tracker_stage05		partial	0.3333		medium	partial_visual_presence
29	16	28.22	29.58	Here, how about that one?	Joey	Will you pick one, just pick one! Here, how about that one? (points to a table)	Joey	absent	char_tracker_stage05		absent	0.0000		medium	speaker_no_face
29	17	30.22	31.66	That's patio furniture.	Chandler	That's patio furniture!	Chandler	absent	char_tracker_stage05		absent	0.0000		medium	speaker_no_face
29	18	32.78	33.42	By what?				present	char_tracker_stage05	joey	unknown			low	missing_speaker
29	19	33.74	36.54	Like, people are gonna come in and think, uh, oh, I'm outside again.	Joey	"So what, like people are gonna come in and think, ""Uh-oh, I'm outside again?"" Of course!"	Joey	present	char_tracker_stage05	joey	present	1.0000		high	
29	20	39.1	40.06	What about the birds?	Chandler	(gesturing towards another table) What about the birds?	Chandler	present	char_tracker_stage05	chandler	present	1.0000		high	
29	21	42.14	42.82	I don't know.	Joey	i don't know	Joey	absent	char_tracker_stage05		absent	0.0000		low	speaker_no_face
