scene_id	scene_desc	start	end	shot_ids
1	Monica, Chandler, and Phoebe's, everyone is there and they are finishing watching the first episode of Mac and C.H.E.E.S.E. Joey is of course Mac.	2.48	20.32	1,3,4,5,6,7
2	They both break into a huge laugh and do that stop motion thing they had at the end of ChiPs.	27.20	33.96	10,13
3	They all make happy faces as they are unable to express their feelings verbally. Finally, the phone rings and the race to answer it is won by Monica.	37.32	69.92	14,15,16,17,18,19,20,21,22,23
4	Phoebe gets up.	71.84	97.85	24,25,26,27,28,29,31
6	Central Perk, Phoebe and Monica are reading on the couch.	139.11	220.50	61,62,64,65,66,67,68,69,70,72,73,74,75,76,77,78,79,80,81,84,85,86,87,88,89,90,93,95
7	Rachel’s New Office, she’s interviewing a potential new assistant, Hilda.	226.90	263.30	96,97,98,99,100,101,102,103,104,105
8	There’s a knock on the door and a handsome man enters.	265.30	321.68	106,107,108,109,110,111,112,113,114,115,116,118,119,120,124
9	Central Perk, Chandler is sitting on the couch when some unknown guy comes in and sits in their easy chair.	330.40	438.61	126,129,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,151,152,153,154,155,156,157
10	Monica, Chandler, and Phoebe's, Chandler, Rachel, and Phoebe are there.	443.17	521.03	158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,174
11	The Days of Our Lives producer’s office, Joey is entering to find Terry there.	528.94	605.98	177,178,179,180,181,182,183,184,185,186,187,188,190,191
12	Rachel’s office, she’s there as Tag knocks on the door and enters carrying a plant.	613.80	660.43	194,195,196,197,198,199,200,201,202,203,204,205,206,207
