scene_id	scene_desc	start	end	shot_ids
35	Monica and Chandler’s bathroom, the scene is continued from earlier.	0.56	12.16	1,2,3,4
36	Joey and Rachel's, Ross is just hanging up the phone as Rachel and Phoebe enter.	19.44	54.47	5,6,7,8,9,10,11,12,13,15,16,17,19
37	They all go into the hallway.	54.47	80.29	19,20,21,22,23,24,25,26,27,28,29
38	Phoebe and Ross go to look for Chandler and Rachel enters Monica and Chandler’s.	82.93	134.60	30,31,32,33,34,35,36,37,38,39,40,42,43
39	The Movie Set, Joey is reporting for work.	134.60	237.77	43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,63,64,65,66,67,68,69,70,71
40	A Street, Phoebe and Ross are exiting a pizza place.	242.89	279.03	73,74,75,76,77,78,79,80
41	Cut to an office building.	280.31	422.75	81,82,83,84,85,87,88,89,90,91,92,93,94,95,96,97,98,99,100,102,103,104,105,106,107,108,109,110,111,112,113,114,115
42	Monica and Chandler's, Rachel is still trying to stall Monica.	426.01	458.15	117,119,120,121,122,123,124,125
43	Monica goes into the bathroom and Rachel thinks quickly.	461.35	513.72	127,128,129,130,131,132,133,134,135,136,137,139,140,141,142,143,144
45	The Movie Set, Joey and Richard are in the middle of a scene. They are both holding swords.	518.60	523.40	146,148
46	Richard thrusts, misses Joey by several feet and Joey screams in pain and drops to his knees.	528.20	569.07	149,150,151,152,153,154,155,156,157
47	The Hotel, Monica’s room, Mr. and Mrs. Bing are staring at each other while Phoebe looks on.	582.26	605.64	161,163,164,165,166
48	Rachel and Mrs. Geller enter.	611.40	613.00	169
49	Monica enters wearing her wedding dress.	616.44	627.60	170,171,172
50	The phone rings and Rachel answers it.	632.16	666.06	174,175,176,177,178,179,180,181,182,183,184,185
52	Chandler’s Hotel Room, Ross is getting Chandler ready.	670.62	707.54	188,189,190,191,192,193,194,195,196,197,198,199,200
