scene_id	scene_desc	start	end	shot_ids
53	Chandler goes out into the hall and lights up a cigarette.	7.84	12.64	2,3
54	He hears Phoebe and Rachel coming and hides in the ice machine room.	12.64	42.65	3,4,5,7
56	The Hotel, Rachel is walking through the ballroom area and comes upon the sign for the Anastassakis/Papasifakis wedding.	45.69	71.13	8,9,10,11
57	Monica’s Hotel Room, Chandler and Monica’s parents and Phoebe are there as Ross enters.	75.61	118.43	13,14,15,16,17,18,19,20,21,22,23
58	Monica enters.	123.47	156.25	25,26,27,28,29,30,31,32,33
59	They both go out into the hall.	163.05	170.09	34,35
61	The Movie Set, Joey is walking up to the director, pleading with him to let him go.	175.67	183.11	36,37
62	He walks away and Joey does Ross’s fist thing. He then enters Richard’s dressing room, to find Richard cutting his steak with his sword.	193.35	232.46	41,42,43,44,45,46,47,48,49,50,51,52
64	The Hotel, Phoebe and Ross are looking for Chandler.	240.70	242.30	53
65	Ross runs over and tackles him.	243.34	324.41	54,55,56,57,60,61,62,63,64,65,66,67,68,70,71,72,73,74,75,76,77,78,79,80,81
66	Mr. Geller turns the corner.	325.93	328.09	81
67	The moment we waited for has finally arrived. It’s time for Monica and Chandler’s wedding. We’ve got violins playing Every Breath You Take, we’ve got guests seated, and Chandler starts walking down the aisle with his parents on either arm.	338.17	358.39	82
68	He walks up onto the altar and notices the Priest.	365.35	367.89	83,84
69	Ross walks down the aisle with Phoebe and Rachel on his arms.	367.89	381.05	84,86
70	Finally, Monica with her parents on her arms start down the aisle.	398.55	413.27	91,93
71	Chandler steps off the altar to greet his bride-to-be.	417.99	423.11	95
72	They both step up onto the altar and she notices the Priest.	428.05	509.92	97,98,99,100,101,103,104,106,107,110,111,113,114
73	She turns to get her vows from Rachel.	512.00	576.25	116,117,118,119,120,121,123
74	Ross leans in to give Chandler his vows.	578.09	652.18	124,126,128,129,131,132,133,134,135,136,138
75	Chandler and Monica both turn, take the rings from Ross and Rachel respectively, and place them on each other’s fingers.	664.58	674.94	143
76	They kiss and everyone applauds.	691.42	710.52	151,152,153,154,155,156,157,158
77	Cut to Phoebe and Rachel.	712.44	717.64	158
