scene_id	scene_desc	start	end	shot_ids
1	Joey and Rachel's, Rachel is filing her nails as Ross and Ben enter.	3.20	8.80	1,2,3,4
2	Ben starts to go, but Ross stops him.	8.80	125.97	4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,33,34,35,36,38,39,40
4	Central Perk, Monica and Chandler are talking. Joey and Phoebe are getting coffee.	169.23	204.13	69,70,71,72,73,75,76,78,79
5	Joey nods his approval.	207.73	242.43	81,82,83,84,85,86,87,88,89,90,91
6	Gunther passes by with a tray of muffins.	244.91	250.27	93,94
7	Joey and Rachel's, Rachel and Ben are sitting on the couch bored out of their minds.	264.86	374.67	96,98,99,100,101,102,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
8	Monica and Chandler's, Monica and Chandler are eating lunch as Joey enters.	383.02	449.73	121,123,124,125,126,127,128,129,130,131,132,133,134,135,136
9	Phoebe enters slowly.	449.89	495.20	136,137,138,139,140,141,142,143,144
10	Joey and Rachel's, Rachel is reading and there is knock on the door which she answers.	504.32	504.72	147
11	She opens the door to reveal Ross with a pencil mark from his forehead to his chin.	514.08	575.17	150,151,152,153,154,155,156,157,158,159,160,161,162
12	Central Perk, Phoebe, Chandler, and Monica are there.	578.29	586.45	164,165,166,167
