scene_id	scene_desc	start	end	shot_ids
1	The Building’s Roof, the entire gang plus Tag are there to look for a comet. They’re looking for a comet on a roof of a New York apartment building. Yeah, that’s realistic. You might as well look for the moon on a bright sunny day.	3.92	74.52	3,4,5,6,7,8,9,10,11,12,13,14,15,16
3	The Roof, continued from earlier.	117.46	226.51	43,44,45,46,48,49,50,51,52,53,54,55,56
4	Monica and Chandler’s bedroom, Monica is sleeping and Chandler’s sitting in bed, wide awake.	238.11	290.82	58,59,60,63,64,65,66
5	Phoebe's apartment, there is a beeping noise coming from the living room and Phoebe sleepily goes to investigate.	303.07	356.45	66,71
6	The Roof, Ross and Joey are banging on the door.	358.29	362.21	71
7	Ross gets fed up with Joey’s banging and stops him by pulling him away from the door.	366.05	419.93	71,72,73,74,75,76,78,79,80,81
8	Monica and Chandler's kitchen, Chandler has a jug of milk in his hands and decides to make some warm milk. He opens up the cabinet to get a pot and manages to knock several other pots onto the floor making a lot of noise.	419.93	472.99	81,82,83,84,85,86,87,88,89,90,91,92,93
9	Joey and Rachel's, Rachel and Tag are making out on the couch.	479.79	562.50	94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114
10	The Fire Escape, Joey and Ross have reached the last landing. Joey is tugging on the ladder that extends to the ground, but it won’t budge.	570.66	658.13	117,118,120,122,123,124,125,126,127,128,129,130,131,132,133
11	Phoebe's apartment, Phoebe is still investigating the smoke detector trying to figure out how to stop the beeping.	663.65	665.65	134
