scene_id	sentence_id	start	end	utterance	speaker	speaker_confidence	speaker_method	alignment_score	row_type	filled_from_missing	matched_to_ct	scene_speaker_set	prev_speaker_scene	next_speaker_scene	review_flag	review_reason	notes	utterance_ct	speaker_ct	speaker_original	visual_presence	visual_presence_source	visual_presence_chars	speaker_visual_presence	speaker_visual_ratio	visual_presence_note	annotation_confidence	annotation_review_reason
1	1	3.6	4.48	Hey, hey.	Phoebe	high	qa_review_resolved_ct_support	1.0	dialogue	False	True	Phoebe | Chandler | Joey | Alice | Emily		Chandler	True	speaker_no_face	Speaker agrees with available community-transcript mapping. | QA resolved prior review with community-transcript support.	Hey!	Phoebe	Phoebe	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
1	2	4.72	5.08	Wow.	Chandler	high	qa_review_resolved_ct_support	1.0	dialogue	False	True	Phoebe | Chandler | Joey | Alice | Emily	Phoebe	Chandler	True	speaker_no_face	Speaker agrees with available community-transcript mapping. | QA resolved prior review with community-transcript support.	hey wow	Chandler	Chandler	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
1	3	5.08	6.44	It is true what they say.	Chandler	high	community_transcript_match	1.0	dialogue	False	True	Phoebe | Chandler | Joey | Alice | Emily	Chandler	Chandler	False		Speaker agrees with available community-transcript mapping.	hey wow it is true what they say	Chandler	Chandler	present	char_tracker_stage05	chandler	present	0.5		high	
1	4	6.44	8.08	Pregnant bellies look like a drum.	Chandler	high	community_transcript_match	1.0	dialogue	False	True	Phoebe | Chandler | Joey | Alice | Emily	Chandler	Phoebe	False		Speaker agrees with available community-transcript mapping.	Hey! Wow, it is true what they say, pregnant bellies look like a drum.	Chandler	Chandler	present	char_tracker_stage05	chandler	present	1.0		high	
1	5	11.04	11.68	Ha, ha.	Phoebe	high	community_transcript_match	1.0	dialogue	False	True	Phoebe | Chandler | Joey | Alice | Emily	Chandler	Phoebe	False		Speaker agrees with available community-transcript mapping.	Ha-ha	Phoebe	Phoebe	present	char_tracker_stage05	phoebe	present	1.0		high	
1	6	12.16	16.6	No, it's just I'm so pregnant that my guitar doesn't fit anymore.	Phoebe	high	qa_review_resolved_bridge	1.0	dialogue	False	True	Phoebe | Chandler | Joey | Alice | Emily	Phoebe	Phoebe	True	speaker_no_face	Speaker agrees with available community-transcript mapping. | QA resolved prior review by same-speaker bridge.	(not amused) Ha-ha. (She sits down on the couch.) No, it’s just I’m so pregnant that I—my guitar doesn’t fit anymore. So I thought ‘til I’m not, I’m just gonna play all my songs on this drum. It sounds really cool!	Phoebe	Phoebe	partial	char_tracker_stage05		absent	0.2		medium	speaker_no_face
1	7	16.6	19.88	So I thought, till I'm not, I'm just gonna play all my songs on this drum.	Phoebe	high	community_transcript_match	1.0	dialogue	False	True	Phoebe | Chandler | Joey | Alice | Emily	Phoebe	Phoebe	False		Speaker agrees with available community-transcript mapping.	So I thought 'til I'm not, I'm just gonna play all my songs on this drum	Phoebe	Phoebe	present	char_tracker_stage05	joey|phoebe	present	1.0		high	
1	8	19.88	21.52	It sounds really cool.	Phoebe	high	community_transcript_match	1.0	dialogue	False	True	Phoebe | Chandler | Joey | Alice | Emily	Phoebe	Phoebe	False		Speaker agrees with available community-transcript mapping.	It sounds really cool	Phoebe	Phoebe	present	char_tracker_stage05	joey|phoebe	present	1.0		high	
1	9	21.92	22.96	Listen, listen.	Phoebe	high	scene_context_bridge	0.88	dialogue	True	False	Phoebe | Chandler | Joey | Alice | Emily	Phoebe	Phoebe	False		Same speaker appears on both sides within the same scene.				present	char_tracker_stage05	joey|phoebe	present			high	
1	10	23.68	24.32	Okay.	Phoebe	high	scene_context_bridge	0.88	dialogue	True	False	Phoebe | Chandler | Joey | Alice | Emily	Phoebe	Phoebe	False		Same speaker appears on both sides within the same scene.				present	char_tracker_stage05	joey|phoebe	present			high	
1	11	26.09	31.93	Smelly cat, smelly cat what are they feeding you?	Phoebe	high	community_transcript_match	1.0	dialogue	False	True	Phoebe | Chandler | Joey | Alice | Emily	Phoebe	Joey	False		Speaker agrees with available community-transcript mapping.	Listen. Listen. (She starts to play and sing.) Smelly cat, smelly cat, what are they feeding you?	Phoebe	Phoebe	present	char_tracker_stage05	joey|phoebe	present	1.0		high	
1	12	38.73	40.17	Oh, Pheebs, that sounds great.	Joey	high	community_transcript_match	1.0	dialogue	False	True	Phoebe | Chandler | Joey | Alice | Emily	Phoebe	Phoebe	False		Speaker agrees with available community-transcript mapping.	Wow, Pheebs! That sounds great!	Joey	Joey	present	char_tracker_stage05	joey	present	1.0		high	
