scene_id	start	end	duration	n_nodes	n_edges	density	n_components	n_interaction_edges	interaction_density	interaction_entropy
22	2.08	9.44	7.359999999999999	2	1	1.0	1	1	1.0	-0.0
23	10.56	55.73	45.169999999999995	4	6	1.0	1	5	0.8333333333333334	1.9205504147026131
24	58.21	111.6	53.38999999999999	2	1	1.0	1	1	1.0	-0.0
25	117.12	272.15	155.02999999999997	2	1	1.0	1	1	1.0	-0.0
26	286.27	286.83	0.5600000000000023	1	0	0.0	1	0	0.0	0.0
27	289.87	421.38	131.51	5	10	1.0	1	7	0.7	2.4998131166351634
28	421.7	509.95	88.25	4	6	1.0	1	5	0.8333333333333334	1.9088069341297507
29	510.79	568.49	57.69999999999999	2	1	1.0	1	1	1.0	-0.0
30	575.53	593.6	18.07000000000005	2	1	1.0	1	1	1.0	-0.0
31	598.64	599.36	0.7200000000000273	1	0	0.0	1	0	0.0	0.0
33	608.16	673.51	65.35000000000002	8	28	1.0	1	20	0.7142857142857143	3.73201581207694
