scene_id	start	end	duration	n_nodes	n_edges	density	n_components	n_interaction_edges	interaction_density	interaction_entropy
23	0.48	20.24	19.759999999999998	2	1	1.0	1	1	1.0	-0.0
24	22.0	47.93	25.93	3	3	1.0	1	3	1.0	1.3919716201760675
25	52.49	90.89	38.4	3	3	1.0	1	3	1.0	1.4581423002549312
26	104.01	130.1	26.08999999999999	2	1	1.0	1	1	1.0	-0.0
28	130.1	165.32	35.22	6	15	1.0	1	9	0.6	3.3409480478254725
30	178.1	193.22	15.120000000000005	2	1	1.0	1	1	1.0	-0.0
31	199.86	217.6	17.73999999999998	2	1	1.0	1	1	1.0	-0.0
32	219.44	264.62	45.18000000000001	3	3	1.0	1	3	1.0	1.2866169764881106
33	264.62	280.98	16.360000000000014	3	3	1.0	1	2	0.6666666666666666	1.123087582630798
34	289.86	304.56	14.699999999999989	2	1	1.0	1	1	1.0	-0.0
35	305.6	380.79	75.19	6	15	1.0	1	6	0.4	2.8455367394030056
36	387.83	410.33	22.5	2	1	1.0	1	1	1.0	-0.0
37	410.73	536.37	125.63999999999999	3	3	1.0	1	3	1.0	0.44949945055065926
38	539.01	546.37	7.360000000000014	1	0	0.0	1	0	0.0	0.0
39	554.99	620.76	65.76999999999998	5	10	1.0	1	7	0.7	2.634587333594817
41	633.32	698.3	64.9799999999999	2	1	1.0	1	1	1.0	-0.0
