scene_id	start	end	duration	n_nodes	n_edges	density	n_components	n_interaction_edges	interaction_density	interaction_entropy
29	0.16	10.08	9.92	2	1	1.0	1	1	1.0	-0.0
30	14.8	28.48	13.68	3	3	1.0	1	3	1.0	1.3650552710551769
31	33.26	110.29	77.03	6	15	1.0	1	7	0.4666666666666667	2.5566142088225914
32	116.29	225.94	109.64999999999999	4	6	1.0	1	3	0.5	1.723777339648413
33	231.92	233.36	1.4400000000000261	1	0	0.0	1	0	0.0	0.0
35	238.88	253.28	14.400000000000006	2	1	1.0	1	1	1.0	-0.0
36	255.52	311.16	55.640000000000015	6	15	1.0	1	9	0.6	3.4290275703429485
37	315.24	395.28	80.03999999999996	6	15	1.0	1	10	0.6666666666666666	3.131715737305544
39	399.76	463.18	63.420000000000016	4	6	1.0	1	6	1.0	1.9754643575782105
40	464.7	484.33	19.629999999999995	2	1	1.0	1	1	1.0	-0.0
41	486.97	495.69	8.71999999999997	1	0	0.0	1	0	0.0	0.0
42	496.17	544.5	48.329999999999984	4	6	1.0	1	5	0.8333333333333334	2.2790180028326805
43	549.3	643.58	94.28000000000009	3	3	1.0	1	3	1.0	0.9248943056350565
44	653.11	691.81	38.69999999999993	5	10	1.0	1	8	0.8	3.036358351076176
45	699.73	706.48	6.75	2	1	1.0	1	1	1.0	-0.0
46	715.92	727.1	11.180000000000064	2	1	1.0	1	1	1.0	-0.0
