scene_id	start	end	duration	n_nodes	n_edges	density	n_components	n_interaction_edges	interaction_density	interaction_entropy
21	0.32	84.65	84.33000000000001	2	1	1.0	1	1	1.0	-0.0
22	95.43	155.27	59.84	2	1	1.0	1	1	1.0	-0.0
24	161.43	195.21	33.78	2	1	1.0	1	1	1.0	-0.0
25	200.01	265.42	65.41000000000003	5	10	1.0	1	6	0.6	1.9711493822384563
26	268.94	392.44	123.5	3	3	1.0	1	3	1.0	1.3756356168165098
28	400.93	464.98	64.05000000000001	2	1	1.0	1	1	1.0	-0.0
29	467.86	509.36	41.5	3	3	1.0	1	3	1.0	1.3090103637094164
30	511.36	536.03	24.66999999999996	3	3	1.0	1	3	1.0	0.9722701216790347
31	539.63	544.99	5.360000000000014	2	1	1.0	1	1	1.0	-0.0
32	548.19	549.15	0.9599999999999227	1	0	0.0	1	0	0.0	0.0
33	552.19	553.23	1.0399999999999636	1	0	0.0	1	0	0.0	0.0
34	556.91	705.64	148.73000000000002	3	3	1.0	1	3	1.0	0.44181705648390146
35	709.16	734.98	25.82000000000005	2	1	1.0	1	1	1.0	-0.0
36	739.78	749.38	9.600000000000023	2	1	1.0	1	1	1.0	-0.0
37	752.5	804.63	52.129999999999995	3	3	1.0	1	3	1.0	1.5260394021639376
39	812.3	836.86	24.56000000000006	3	3	1.0	1	3	1.0	1.2790821020129193
