scene_id	start	end	duration	n_nodes	n_edges	density	n_components	n_interaction_edges	interaction_density	interaction_entropy
19	0.32	34.45	34.13	2	1	1.0	1	1	1.0	-0.0
20	34.85	106.15	71.30000000000001	4	6	1.0	1	5	0.8333333333333334	2.3003851097292967
22	106.79	204.06	97.27	4	6	1.0	1	6	1.0	2.1232431713076405
23	207.74	215.34	7.599999999999994	2	1	1.0	1	1	1.0	-0.0
24	219.26	357.44	138.18	4	6	1.0	1	4	0.6666666666666666	1.6497411950342795
25	358.16	457.08	98.91999999999996	2	1	1.0	1	1	1.0	-0.0
27	459.8	479.86	20.060000000000002	2	1	1.0	1	1	1.0	-0.0
28	485.14	508.51	23.370000000000005	3	3	1.0	1	2	0.6666666666666666	1.0215525160016439
29	508.51	517.07	8.56000000000006	1	0	0.0	1	0	0.0	0.0
30	534.97	557.12	22.149999999999977	4	6	1.0	1	5	0.8333333333333334	2.3188122291428193
31	560.72	562.4	1.67999999999995	1	0	0.0	1	0	0.0	0.0
32	568.399	587.18	18.78099999999995	3	3	1.0	1	3	1.0	1.3875473207253506
33	587.18	587.62	0.44000000000005457	1	0	0.0	1	0	0.0	0.0
34	587.62	594.94	7.32000000000005	1	0	0.0	1	0	0.0	0.0
36	601.02	626.55	25.529999999999973	2	1	1.0	1	1	1.0	-0.0
