scene_id	scene_desc	start	end	shot_ids
1	Chandler and Joey's, Chandler is sitting reading a book and hears the bed in Joey's room creaking, and does a 'Oh no, not again' look on his face.	1.60	22.48	1
8	Central Perk, Joey is putting jam on his muffin, lots of jam	22.72	37.23	1,2,3
9	Chandler's bedroom, Janice and him are cuddling	37.23	42.23	3
10	Central Perk, Malcom is giving Phoebe all of his spy stuff	51.67	130.77	4,5,6,7,8,9,10,11,12,14
11	Monica and Rachel's, Joey is eating jam straight out of the jar, and Chandler is staring at him in amazement. Joey offers him some.	130.77	313.01	14,15,16,17,18,19,20,21,22,23,24,25,26,28,29,30,31,32,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
12	Central Perk	313.01	344.51	51,52,53,54,55,57
13	Subway station, Phoebe is following Malcom by finding behind the pillars until she comes up to one with a wire mesh garbage can next to it. Malcom stops and starts walking the other way and passes Phoebe, who quick tries to hide behind the garbage can. But, Malcom sees her.	377.85	471.14	62,63,64,65,66,67,68,69,70,73,75,76,77,79,80,81,82,83,84,85
14	Monica and Rachel's, Joey is entering	474.26	585.91	86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,103,104,105,107,108,109,110,111
15	Suddenly Malcom is looking through Monica's window with his binoculars and then knocks. Both Monica and Joey turn around to see who it is.	595.26	617.34	113,115,118,119,120,121,122
17	Monica and Rachel's, Joey is finishing off the last of the jam	622.12	664.23	124,125,126,127,128,129,131,132
