scene_id	scene_desc	start	end	shot_ids
1	Central Perk, the whole gang is there including Janice.	2.24	65.78	1,2,3,4,5,6,7,9,10,11,12,14,16,18,19,20
3	Monica and Phoebe’s, three years earlier, Phoebe, Monica, and Ross are there	76.90	214.15	23,24,25,27,28,29,30,31,32,33,34,35,36,37,39,40,42,43,44,46,47,48,49,50,51,52
4	Chandler’s, Chandler is interviewing a potential roommate.	218.47	260.60	53,54,55,56,57,58,59,61,63,64,65
5	Chandler’s, Chandler is interviewing Joey.	265.80	311.32	66,67,68,69,70,71,72,73,75
6	the hallway, Monica is coming up the stairs.	311.32	312.24	75
7	Joey is leaving and notices Monica, as Monica notices him	315.68	317.60	76,77
9	A bar, Chandler is entering.	330.64	463.67	82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,106,107,108,109,110,111,112,113,114,115,116,117
10	Chandler throws the cue ball under there table.	463.67	524.29	117,118,119,120,121,122,123,124,125,126,127,129,130,132,133
11	An awkward silence	524.29	548.72	133,134,135,136,137,138,139
12	Monica and Phoebe’s, Ross is on the phone, as Phoebe is walking by carrying a lamp.	549.44	574.64	139,141,142,143,144,145,146,147
13	There is a knock on the door, Phoebe answers it, its Mr. Heckles	583.61	596.17	149,150,151,152,153,154
14	in the hallway, Eric is moving in	602.25	642.06	157,158,159,160,161,162,163,164,166,168,172
16	the hallway, Joey is moving in, Monica is leaving.	642.06	664.14	172,173,175,176,178
17	Joey comes back into the hallway and starts to pick up a heavy box	669.74	692.13	178,179,180,181
