scene_id	scene_desc	start	end	shot_ids
1	Central Perk, all but Chandler are there, Joey laughs for no apparent reason.	8.24	25.12	1,2,3,4
2	Chandler enters with a cigarette.	25.20	35.22	4,5,6
3	Chandler hands him the cigarette, and he takes a long drag.	41.62	49.70	7,8,9
4	He goes and sits down next to Rachel and puts a cigarette in his mouth, which Rachel takes away from him. He puts another cigarette in his mouth, and Rachel takes it away again.	60.09	127.58	10,11,12,14,15,16,17,18,19,20,21,23,24,25
6	Central Perk, continued from earlier, Ross is handing Rachel a cup of coffee.	139.02	257.15	26,27,28,29,30,31,32,33,34,35,36,38,39,40,41,42,43,44,45,46,47,48,49,50,51,53,54,55
7	Ross lets them both sit in his chair.	257.55	301.00	55,56,60,61,62
8	Both Chandler and Phoebe have shocked looks on their faces.	303.88	350.15	64,66,67,68,69,71,72,73,74
10	Chandler’s bedroom, Chandler is listening to the hypnosis tape.	351.11	375.36	74,75
11	The Moondance Diner, Monica is working, Rachel is having lunch.	375.36	437.69	75,76,77,79,80,81,82,84,85,86,88,89,90,91,92,94
12	Chandler and Joey's, Ross and Joey are being lectured by Phoebe.	437.69	536.67	94,95,96,97,98,99,101,102,103,104,105,106,107,108,109,110,111,112,113
13	Monica and Rachel's, Rachel and Monica are entering.	539.23	647.10	113,115,116,117,118,119,120,121,122,123,124,126,127,128,129,130,131,132,133,134,135,136,137
14	Chandler is putting on the Chap Stick the same way that women put on lipstick, including the bit with the piece of tissue.	660.92	661.16	140
15	Chandler and Joey's, Ross and Joey are talking to Frank.	663.72	692.82	142,143,144,145,146,148
