scene_id	scene_desc	start	end	shot_ids
12	Monica and Rachel’s, Phoebe is eating breakfast with Monica while Frank is playing with num-chucks on the balcony	1.04	16.48	2,3
13	Phoebe’s, Phoebe and Frank are watching TV.	23.28	116.42	5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
14	Monica and Rachel’s bathroom, Joey and Monica are admiring the new floor.	119.54	186.58	22,23,24,26,27,28,29,30,31,32,33,34,36,37,39,40
15	Healing Hands Inc. (Phoebe’s work), Frank is being ushered in, by the arm, to the room Phoebe is in by another girl.	186.58	352.38	40,41,42,43,44,45,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,75
16	Monica and Rachel's.  Monica is doing Rachel's make up while Phoebe is getting some things out of her purse.	352.38	377.30	75,76,79,82
17	The girls don't move so Chandler comes back.	381.06	382.50	84
18	Chandler and Joey’s, everyone is there, helping to lift the entertainment center into place	386.50	459.83	86,87,88,89,90,91,92,94,95,96,97,98,99,100,101,102,103,104
19	Central Perk, Rachel is serving some guy coffee.	465.33	479.97	104,105,106,107
20	Isabella Rosselini enters	486.69	494.37	107
21	Ross recognizes her and goes over to the couch, mouthing ‘Oh my God’	495.49	655.60	107,108,110,111,112,113,114,115,116,117,118,119,120,122,123,126,127,128,129,130,131,132,133,135,137,138,139,140,143,144,145,146
23	Chandler and Joey’s, they are admiring the entertainment center	660.72	675.62	147,148,149,150
24	Joey successfully enters the entertainment center, and Chandler closes the door on Joey.	681.94	710.87	151,152,153,154,156
