scene_id	scene_desc	start	end	shot_ids
1	Scene Central Perk, the whole gang is entering	3.04	15.44	1,3
3	Rachel and Monica's, Phoebe, Ross, and Rachel are eating breakfast.	31.85	56.97	5,6,7,9,10,14
4	Monica enters from her bedroom	57.05	62.23	14
5	she just walks straight into the bathroom	62.95	94.54	14,15,16,17,18
6	Chandler and Joey's, Joey is coming in from the bedroom	94.78	204.60	18,19,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,37,38,39,40,41,42,43
7	Rachel and Monica's, Monica is entering from the bathroom.	213.64	329.93	48,49,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
8	Ross's bedroom, Ross is working and Rachel is reading a book in bed	353.36	481.72	69,70,71,73,74,75,76,77,78,79,80,81,82,83
10	Central Perk, Phoebe and Rachel are there	481.80	572.72	83,84,85,86,87,88,89,91,92,93,94,95,96,97,98,99,101,103
12	Chandler enters	577.89	699.05	106,108,109,111,112,114,115,116,117,118,119,120,121,122,125,126,127,128,129,130
13	Monica and Rachel's, Rachel and Ross are entering	707.61	725.34	132,133,134,135,136
