scene_id	scene_desc	start	end	shot_ids
1	A Video Store, Monica is running in to return a video.	3.20	3.52	1
2	The clerk enters the video into the computer.	6.56	67.13	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
5	continued from earlier.	80.73	129.09	18,19,21,22,23,26,27,28,30
6	Monica and Rachel's, Chandler, Ross. Joey, and Rachel are eating breakfast. Chandler is holding a bottle of Hersey’s Syrup.	129.09	190.37	30,31,32,33,34,35,36,37,38,39,40
7	They all gasp	191.01	238.23	40,41,42,43,44,45,46,47,48
8	Chandler and Joey's, Joey is watching TV.	243.43	337.76	50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
9	Central Perk, Chandler and Ross are there.	345.08	350.84	67,68
10	Phoebe and Robert enter.	354.44	385.82	70,71,72,73,74,76
11	Robert leans back on the arm of the chair and allows Chandler to see up his shorts and sees ‘little Robert.’ Chandler is horrified by this view.	385.90	457.54	76,77,78,79,80,81,82,83
13	Monica and Rachel's, Monica is teaching Richard how to make lasagna.	462.50	476.98	83,84
14	They both start squishing the tomatoes.	477.06	503.64	84,85,87,88
15	Richard squishes a little too hard and some lands on his shirt.	504.44	517.64	88,89,90,92
16	She is rubbing his chest and her voice trails off into silence, a long pause follows.	527.80	536.29	95,96,97
17	Central Perk, Chandler is watching Joey read Little Women, Ross is also there.	543.01	588.23	97,98,99,100,101,102,103,104,105,106,107
18	Enter Phoebe and Robert	588.69	608.93	107,108,109
19	He puts his leg up on the couch to get the quarter, once again exposing himself to Chandler and Ross. In horror, Chandler, slides over and leans against Joey on the couch.	621.63	633.39	113,114,116,117
20	Robert walks away and the guys all start laughing in front of Phoebe.	638.19	650.30	118,119,120,121,122
21	The guys start laughing harder.	655.90	677.51	124,125,126,127
22	He puts his leg up on the table to pass Joey the cookies, and Phoebe sees what the guys are laughing at, and gasps.	683.59	685.03	129,130
23	Monica and Rachel's, Monica is talking to Richard on the phone.	690.87	692.79	130
24	There’s a knock on the door.	693.59	696.71	131
25	Monica’s bedroom, she’s in bed with Richard.	697.68	697.92	131
