scene_id	scene_desc	start	end	shot_ids
14	The Theatre, Joey and Kate are rehearsing for the play.	0.40	24.64	2,4,5,6,7
15	The Hallway, Chandler and Ross are returning from working out.	24.64	33.23	7
16	Rachel comes out of her apartment, followed by Mark, and they leave on their date, without saying a word to Ross. Ross is stunned.	46.83	57.14	10,11
17	Chandler and Joey's, Chandler is watching a basketball game, Ross is staring out the peephole.	57.14	137.65	11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,37
18	He starts to exit, but Chandler tries to stop him by climbing on his back and grabbing hold of the foosball table.	137.65	194.81	37,38,39,40,41,42,43,44,45
19	Monica and Rachel's, Rachel is pouring Mark some coffee.	197.93	209.45	47,48
20	She sits down, and Mark leans over and kisses her. Rachel doesn’t react. He tries it again, and Rachel jumps back quickly.	216.42	267.30	51,52,53,54,55,56,57,58,59,60
21	A Hospital Reception, Monica and Pete are there.	273.04	386.35	60,61,62,63,64,65,66,67,68,69,70,71,72,75,76,77,78,79
23	Chandler and Joey's, Chandler is sitting in one of the black chairs, and turns to face the other one.	394.67	403.07	81,82,83
24	Joey enters.	407.63	468.69	85,87,88,89,90,91,92,93,94,95,96,97
25	The Theatre, Kate and Joey are rehearsing the same scene as before.	475.73	566.25	99,100,101,102,103,104,105,106,107,108,109,110,111
26	Monica and Rachel's, Monica is in the kitchen chopping vegetables. Chandler and Phoebe are sitting in the living room.	578.18	644.73	112,114,115,116,117,119,120,121,122,123,124,125,126,127,128
28	Chandler and Joey's, Phoebe and Chandler are sitting in the black chairs.	651.77	684.95	129,130,131,132,133,135,136,138,139,140
