scene_id	scene_desc	start	end	shot_ids
1	Monica and Rachel's, Phoebe is on the phone, Chandler and Monica are sitting in the living room, and Ross is in the kitchen as Rachel enters from her bedroom.	0.16	1.96	1
22	They kiss.	1.96	73.08	1,2,3,4,5,6,7,10,11
23	Monica and Rachel's, the next morning, Phoebe is STILL on hold.	81.08	168.33	12,13,15,16,18,19,20,21,22,23,24,25,26,27,28,29,30,31
24	Central Perk, Chandler and Monica are sitting on the couch, Rachel is on the chair.	175.85	177.29	32
25	He turns and looks at her. The woman whispers something to Gunther; who comes back and takes the mug away from Chandler.	182.81	251.07	34,35,36,37,38,39,41,42,43,44,45,46,47,48,50,51,52
26	cut to outside of Central Perk	251.07	278.07	52,53,55,56,57,58,59,60,61,62
27	cut to inside Central Perk, we see Ross quietly tapping on the window, desperately trying to get the gang’s attention, while Tommy is still screaming at him	281.51	301.24	64,65,66
29	Backstage at Joey’s play, Joey is arriving, late.	306.60	313.40	68,69,70
30	cut to onstage with Lauren standing in for Kate, the doorbell rings.	318.84	362.95	71,72,73,74,75,76,77,79,80,81,82,83,84
31	Monica and Rachel's, Chandler and Ross are in the kitchen, Rachel is sitting in the living room. Monica walks up to Phoebe who is still on hold.	367.67	411.96	85,86,87,88,89,90,91
32	We see Tommy go into Joey and Chandler’s apartment	416.12	452.41	93,94,95,96,97,100,101,102
33	cut to Chandler and Joey’s apartment, Tommy is using the phone	452.41	464.48	102,104
34	We see the gang staring at him through the doorways.	468.96	484.88	107,108,109
36	Backstage at Joey’s play, Joey is changing for the next scene as Kate arrives, carrying her bags.	489.76	530.14	110,111,112,113,114,115,116,117,118,119,120
37	cut to the end of the play	533.26	609.38	120,121,123,124,125,126,127,128,129,130,131,133
38	The ladder retracts, taking Joey up into the spaceship for his voyage to Blargon 7, and Kate waves good bye.	618.10	619.30	136
40	Monica and Rachel's, the gang, except Joey, is there. Phoebe is, well you y'know.	626.60	678.29	137,138,139,140,141,142,143,144,145
