scene_id	scene_desc	start	end	shot_ids
1	Central Perk, Chandler and Joey are sitting on the couch reading.	4.48	11.36	1,2
2	Monica and Phoebe enter.	13.44	101.09	3,4,5,6,7,8,9,11,13,14,15,16,17,18,19,20,21
3	Rachel enters.	104.21	134.84	23,24,25,26,29
4	Ross enters behind Rachel, and look at each other for a moment.	134.84	136.96	29,30
6	Chandler and Joey's, the whole gang is there, except for Ross and Rachel. Joey is trying to eat Chinese with chopsticks and fails miserably. There’s a knock on the door, and Chandler answers it to reveal Rachel	158.68	223.81	31,32,33,34,36,37,38,39,40,41,42,43,45,46
7	Chandler makes a noise of absolute disgust and heads into the living room.	228.84	232.04	48,49
8	We see Chandler lighting up a cigarette.	232.68	269.54	49,50,51,52,53,54,55,56,57,59,60
9	There’s a knock on the door.	269.54	305.39	60,61,63,64,65,66,67,68
10	Ross’s, the gang, minus Rachel of course, is there. Chandler is forced to smoke by an open window.	312.20	430.72	69,70,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
11	In Phoebe’s Grandmother’s cab, driving up to the cabin. Phoebe’s driving, Rachel’s sitting shotgun, Chandler, Monica, and Joey are in the back seat.	438.56	449.92	93,94
12	Chandler starts to light a cigarette.	453.12	490.33	95,96,97
13	The rest stop, Phoebe’s pulling in.	498.01	500.65	97,98
14	Both Chandler and Joey put their feet up against the glass, Monica doesn’t and gets thrown up against the glass.	502.73	504.17	98
15	Joey gets out and sprints to the bathroom and Chandler follows with a cigarette in his hands.	510.73	538.14	100,101,103,104,105
16	Cut to later.	546.03	626.47	107,108,109,111,112,113,115,116,117,118,119,120,121,122
17	Chandler crumples up his cigarette pack and throws it on the ground.	628.95	661.52	123,124,125,126,127,128,129
18	They all run to get in the cab, and Chandler pulls out a smoke.	665.12	668.64	130
