scene_id	sentence_id	start	end	utterance	speaker	utterance_ct	speaker_ct	visual_presence	visual_presence_source	visual_presence_chars	speaker_visual_presence	speaker_visual_ratio	visual_presence_note	annotation_confidence	annotation_review_reason
42	1	0.48	2.16	To solidify your commitment.	Monica	To solidify your commitment	Monica	present	char_tracker_stage05	monica	present	1.0000		medium	
42	2	2.32	4.72	To declare your love for one another to the world.	Monica	Why?! To celebrate your relationship! To solidify your commitment! To declare your love for one another to the world!	Monica	present	char_tracker_stage05	monica	present	1.0000		medium	
42	3	6.16	6.72	Yes.				present	char_tracker_stage05	chandler|monica	unknown			low	missing_speaker
42	4	9.2	9.72	Okay.	Monica	okay	Monica	present	char_tracker_stage05	monica	present	1.0000		low	low_speaker_confidence
42	5	9.72	10.88	Well, that's good to know.	Monica	Okay well that’s good to know.	Monica	present	char_tracker_stage05	monica	present	1.0000		high	
43	6	13.68	15.36	The Mr. Beaumont's here.	Joey	(all excited) The Mr. Beaumont’s here!!! (Jumps over the back off the couch and runs out into the street.)	Joey	present	char_tracker_stage05	joey	present	0.6667		high	
43	7	22.08	23.0	Hey, Monica.	Waitress	hey monica should i let him in	Waitress	absent	char_tracker_stage05		unobserved			low	low_speaker_confidence
44	8	23.0	24.88	There's a customer who wants to compliment the chef.	Waitress	Hey Monica, there’s a customer who wants to complement the chef, should I let him in?	Waitress	absent	char_tracker_stage05		unobserved			medium	
44	9	24.88	25.68	Shall I let him in?	Waitress	hey monica should i let him in	Waitress	present	char_tracker_stage05	monica	unobserved			low	low_speaker_confidence
44	10	26.07	26.23	Sure.	Monica	sure	Monica	present	char_tracker_stage05	monica	present	1.0000		low	low_speaker_confidence
44	11	26.23	27.27	I love this part.	Monica	Sure, I love this part! (Starts to look busy.)	Monica	present	char_tracker_stage05	monica	present	1.0000		high	
44	12	28.87	29.59	Come on in.	Waitress	(to the customer) Come on in.	Waitress	absent	char_tracker_stage05		unobserved			high	
45	13	30.47	32.71	Hi, Richard.	Monica	Richard!	Monica	present	char_tracker_stage05	monica	present	0.6667		high	
45	14	33.75	35.67	Actually, I'm not here to compliment the chef.	Richard	Actually, I’m not here to complement the chef.	Richard	present	char_tracker_stage05	monica	unobserved			high	
45	15	36.15	37.87	Oh, well, that's okay.				present	char_tracker_stage05	monica	unknown			low	missing_speaker
45	16	37.87	39.79	I hate when people come back to compliment the chef.	Monica	Ohh… Oh, that’s okay I hate when people come back to complement the chef. Like I have nothing better to do! So what’s up?	Monica	present	char_tracker_stage05	monica	present	1.0000		medium	
45	17	39.79	41.27	Like I have nothing better to do.	Monica	Like I have nothing better to do	Monica	present	char_tracker_stage05	monica	present	1.0000		medium	
45	18	43.67	44.47	So, what's up?	Monica	So what's up	Monica	present	char_tracker_stage05	monica	present	1.0000		medium	
45	19	44.79	47.27	Well, it was great seeing you the other night.	Richard	Well, it was great seeing you the other night.	Richard	partial	char_tracker_stage05		unobserved			high	
45	20	47.67	48.87	It was good to see you too.	Monica	Oh, good to see you too	Monica	absent	char_tracker_stage05		absent	0.0000		medium	speaker_no_face
45	21	51.52	52.96	Did you come down here to tell me that?	Monica	Oh, good to see you too. Did you come down here to tell me that?	Monica	present	char_tracker_stage05	monica	present	1.0000		high	
45	22	53.12	53.52	No.	Richard	No	Richard	absent	char_tracker_stage05		unobserved			medium	
45	23	54.08	55.68	Came here to tell you something else.	Richard	I came here to tell you something else	Richard	absent	char_tracker_stage05		unobserved			medium	
45	24	58.24	61.2	Came here to tell you I still love you.	Richard	No! I came here to tell you something else. (Pause) I came here (Pause) to tell you I still love you.	Richard	absent	char_tracker_stage05		unobserved			medium	
