scene_id	scene_desc	start	end	shot_ids
33	Rachel lets her anger show too. Hideously embarrassed, the doctors drain their glasses in the vicious pause which follows. The telephone rings, but the girls just glower at each other, silently daring the other to move first. Finally both guys jump up, and Michael wins.	0.96	22.88	1,2,4,5,6,7
34	Monica glares triumphantly across the room, scaring Rachel who also stands up.	23.92	45.74	8,9,10,11,14,15
36	Monica and Rachel's, the next morning, Ross, Phoebe, Chandler and Monica sit round the coffee table, playing Scrabble. Rachel, still in her dressing gown, is pleading on the phone, her free hand shaking with agitation.	45.74	73.32	15,16,17,19,20,22
37	Ross nods his head in disbelief.	75.00	77.72	23,24
38	Monica becomes distracted by Marcel as he clambers all over her nice furniture.	80.44	86.68	25
39	Marcel changes channel to Bugs Bunny, who is speaking in Spanish.	90.86	112.46	27,28,29,30
40	All animosity forgotten, Rachel holds the receiver out as she limps quickly over to her friend, who stands up in concern.	113.13	141.33	30,31,32,33,34,35,36
41	Rachel goes to her room.	144.05	198.33	37,38,39,40,41,42,43,45,46,49,53
43	Riff's, Ursula, with a pad and pen in her hand, walks by two ladies at a table who are waiting for their order.	198.60	208.92	53,54,55,56
44	Phoebe is entering. Ursula returns with two plates of chicken, but she only has time to set one on the table, when...	216.44	216.92	59
45	Ursula turns in surprise.	218.36	224.92	60
46	Ursula points out a vacant table, so the twins walk over, side by side, to sit down. Departing customers walk right past the pair. Sitting at the back, a hungry gentleman looks most annoyed as Ursula sets his meal down in front of her. The girls sit.	224.92	238.12	60,64,65
47	Ursula is genuinely pleased that her sister has visited her, after so many years. Phoebe hesitates over how best to begin.	238.12	241.72	65,66
48	Ursula picks up a fork and begins eating the meat, while Phoebe removes a present from her bag.	246.44	250.24	68,69
49	She laughs at the childhood memory. Phoebe smiles at being able to make her point.	250.24	254.84	69,70
50	Ursula gets up to fetch a box from her bag by the counter.	255.62	259.62	71,72
51	Ursula puts the box directly into Phoebe's hand. Phoebe brightens.	262.82	264.18	73
52	Phoebe opens the box, to find something familiar inside.	264.90	267.62	74
53	Phoebe's smile hardens as she packs the cardigan away.	271.14	279.78	74,75
54	Ursula resumes eating her lunch..	281.14	292.40	76,77,78,79,80,81
55	A waiter comes over for the stolen chicken. Ursula turns to him.	292.88	295.92	81
56	The man gives up, shaking his head.	298.56	315.71	82,84,85,86,87
57	Ursula's eyes dance as she laughs and smiles, simply glad to be back with her sister.	316.75	332.91	88,89,90,93
58	The Emergency Room. The officious admissions nurse is again on duty. Rachel and Monica enter, looking worried. As they approach the desk, Rachel adopts a winning smile, while Monica struggles to smile at all.	333.15	370.84	93,94,95,96,97,98,99,100
59	The girls escape with a new form and sit down in the hospital lounge.	370.84	386.80	100,101,102
60	Monica and Rachel's, Chandler is neglecting the game of Scrabble, for he's busily drawing on his own childhood in an attempt to help Ross. Marcel chitters about.	389.36	406.80	103,104,105,106,107,108
61	Instead of scampering, Marcel stretches his neck as much as possible, and makes an unvoiced noise from his throat.	410.80	427.77	109,110,111,112,113
63	The Emergency Room, Monica sits with Rachel, who is filling out an honest form at last. Ross and Chandler hurtle in. Little Marcel, wrapped in a fluffy towel, is cradled in Ross's arms. They dash up to the admissions desk. Ross is frantic.	434.89	435.89	118
64	Hearing her brother's voice, Monica gets up to stand behind Chandler, followed by Rachel.	435.89	444.95	118,119,120,121
65	Ross and Chandler turn at the voice...	444.95	449.35	121,122
66	..then turn back to the desk when the surprise hits them, and Ross and Chandler whip around once more. Monica and Rachel recoil slightly.	449.59	461.75	122,123
67	Ross's vigorous protest is attracting attention.	461.91	463.03	123,125
68	Rachel, Monica, Ross and Chandler whip around for a second time, in formation.	463.43	468.07	125,126,127,128
70	"Central Perk, Joey is playing ""She Loves Me, She Loves Me Not"" with the petals of a flower, alternately looking hopeful and annoyed. Phoebe enters, but not as herself, for she has changed the style of her hair and make-up to match that of her twin sister. She hangs up her coat, revealing her new cardigan. Nervously, she smooths out the identifying garment, approaching Joey who sits next to the main sofa."	481.45	484.01	129
71	Phoebe nods as he stands up in delight.	484.97	500.73	130,131,132,133,134
72	Phoebe is almost thrown by this.	502.25	547.60	135,136,137,138,139,140,141,142,143,144,145,146
73	He sinks to the sofa, saddened by Ursula's ultimatum, while Phoebe follows, touched by Joey's good heart.	552.93	558.29	147,148
74	He looks up at her face and Phoebe, slipping out of character, smiles back at him. Joey's voice becomes soft and warm.	564.85	604.87	150,151,155,156
75	"Phoebe smiles, when Joey takes her face in his hands and kisses her. Joey gets up to leave but stops suddenly. Phoebe silently shouts ""Oh, whoa!!"" to herself, and leans back in the sofa to recover, a hand to her tingling lips. A thoughtful Joey is also feeling his lips, so he hesitates for a moment, then returns for a better view, he thinks again, cocking his head from side to side to regard her profile from various angles, then..."	604.95	605.43	156
76	The Hospital, Marcel lies on the operating table while recovering from the anaesthetic, tucked up under a sheet like an infant in a huge bed. Ross sits beside him, as a smiling Chandler, Monica and Rachel look on.	616.31	617.67	159
77	The door bursts open, and Joey and Phoebe rush in.	619.27	630.60	160,161,162,163
78	Ross does not approve of Chandler's daft theory.	637.80	651.88	163,164,165
79	Ross does approve of this, but he's still not sure. The tiny figure stirs.	652.92	656.45	165,166,167
82	Monica and Rachel's, everyone except Joey is there.  Rachel is looking out of the window and Ross is handing out some Chinese takeout.  There's a small SAP in the corner of the screen.	675.65	678.21	176
85	Joey enters, happy again.	691.23	692.11	182
86	Marcel grabs the remote.	694.83	711.57	183,184,190
