scene_id	scene_desc	start	end	shot_ids
1	Central Perk, Rachel is confronting her boss, Terry.	7.28	74.04	3,4,5,6,7,8,9,10,11,12,13,17
3	Central Perk, Rachel is approaching a customer.	74.04	91.56	17,18,19,21,22
4	Monica enters.	92.44	111.78	22,23,24,25,26,27,28
5	Joey enters. His face looks abnormally colorful.	117.14	157.68	29,30,31,32,34,35,37,38,39,40,42,43,44
6	Ross comes back to the couch.	163.98	236.05	47,48,49,50,51,52,53,54,55,56,58,59,60,61,62,63,64,65,66
7	Carol and Susan's apartment, Susan is there. Ross enters.	245.89	351.50	67,68,69,70,73,74,75,76,77,78,80,83,84,85,86,87,88,89,90,91,92,93
8	Monica and Rachel's, everyone is there but Rachel.	363.20	399.58	94,95,96,97,98,99,100,101,102,103
9	Rachel enters.	399.90	430.74	103,104,105
10	Rachel opens it. Inside is the money she needed.	431.38	501.99	105,106,107,108,109,110,111,112,114,115,116,118,119,120,121,122
11	The subway, Joey spots a gorgeous woman waiting. He goes up to her.	517.35	556.03	123,124,125,126,127,129,130,131,132,133,134,135,136
12	Pause	566.57	583.69	139,140,141,142,143,144
14	Central Perk, Joey enters, amongst snickers from the gang.	627.17	634.37	156,157,158
15	Monica and Rachel's, Joey enters, upset.	653.79	662.83	170,171,173,174
16	Monica and Rachel's, Monica is cooking Thanksgiving dinner. Chandler is standing in the doorway, not wanting to participate in the festivities.	672.35	689.09	177,178,179,180,181,182
