scene_id	scene_desc	start	end	shot_ids
56	Richard’s Apartment, he’s smoking a cigar and reading a book as there is a knock on the door. He gets up and opens the door to reveal…	0.40	89.23	1,2,4,5,6,7,8,9,11,12,13,15,16,17,18,19,20,21,22,23,25,26,27,28
58	Central Perk, Phoebe is reading as Rachel enters.	97.23	121.54	30,31,32,33,34,35,36
59	At the same time.	121.94	149.20	37,38,39,40,41,42,43
60	Rachel gets all happy.	149.20	170.36	43,44,45,46,48
61	"She turns her head away and when she’s not looking, Phoebe shakes her head and mouths, ""No, I’m not."" Both Joey and Ross smile, look at each other, and then stop smiling."	170.44	187.92	48,49,50
62	Rachel mixes them up in her hands, moves them all around, and puts her hands behind her back.	187.92	205.53	50,51,52,53
63	Richard’s Apartment, Monica is looking around and notices an African mask hanging on the wall.	209.77	316.48	54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,73
64	Richard’s Apartment, time lapse. Richard is smoking as he hears a knock on the door. He quickly puts out his cigar and opens the door.	332.48	469.64	78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,104,105,106,107,108
66	The Hallway, Chandler is running up the stairs and towards his apartment, but Joey is taking out the garbage at the same time and stops him in the hall.	484.20	515.26	111,112,113,114,115,116,117,118,119,120,121
67	He walks dejectedly into his apartment to find it lit with about a thousand candles and Monica standing in the living room.	527.10	538.88	124,128
68	He turns to look at Joey who smiles slyly and closes the door leaving them alone.	539.59	548.39	128,130
69	Monica gets down on one knee.	550.55	631.47	130,131,132,134,135,136,138,140,142,143
70	The crowd goes wild as he puts the ring on her finger. They hug and kiss this time as an engaged couple.	646.46	648.38	147
71	They hug again.	651.50	659.74	149,150,151
72	Everyone screams and has a group hug.	667.65	711.31	153,154,155,156
