scene_id	scene_desc	start	end	shot_ids
1	Central Perk. Everyone is there. Ross is standing behind the couch.	5.92	62.55	1,2,3,4,5,6,8,9,10,12,13,14
2	Everybody acts less than enthused	66.55	116.73	18,47
4	Monica and Chandler's, Monica is mixing some Thanksgiving treat (I’m assuming mashed potatoes) in a bowl.	118.33	121.21	47
5	Chandler throws his coat on the couch	122.97	129.05	48,49
6	Monica goes to fiddle with something on the table.	129.37	134.09	50
7	Monica goes to the stove.	135.77	201.26	51,52,53,54,55,56,57,59,60,61,62,63,64,65,66,67,68,69
8	Joey and Janine’s, Joey and Ross are playing Sony Playstation. Chandler enters.	206.68	209.72	72
9	Chandler goes to stand to the side of the TV.	209.80	226.52	72,73,74,75,76,77,79
10	Joey and Ross get annoyed with Chandler's outburst.	226.52	237.31	79,80,81,82
11	Chandler starts to leave as Janine enters	237.31	240.27	82,83,84
12	Chandler exits	241.07	241.79	84,85
13	Joey and Ross drop their video game controllers.	242.75	282.99	85,86,87,88,89,90,91,92,93,94
15	Ross looks at Joey coyly.	288.03	290.51	95
16	Monica and Chandler’s, Chandler is watching tv; Monica is setting the table, and Rachel is in the kitchen cooking.	295.85	303.53	96,97,98
17	Phoebe enters with a paper turkey.	306.01	323.61	100,101,102,103,105
18	Monica, Phoebe, and Rachel laugh	326.14	346.54	105,106,107,108,109,110,111
19	Joey and Ross enter.	349.82	363.88	112,113,115
20	Joey and Ross go to the door, ready to leave.	364.76	425.08	116,117,118,119,120,121,122,123,124,125,127,128,129,130,132,133
21	Monica turns her head to look at Chandler.	426.76	428.28	134
22	Enter Jack and Judy Geller	433.16	440.04	136,138
23	Kisses and hugs are exchanged.	440.04	452.05	138,139,140
24	Chandler goes to take off Jack’s coat. He then notices little white flakes on Jack’s shoulders. He begins to wipe them off.	452.61	466.57	141,142
25	Time lapse. The gang is sitting down for Thanksgiving dinner. Chandler is at the head of the table, Mr and Mrs Geller are to his right. Joey and Ross are to his left. Monica is serving things. Phoebe is in the living room and Rachel is at the sink.	466.57	468.37	142
26	Chandler, trying to make nice with Jack, laughs at his joke and points at Jack.	471.73	475.85	144
27	Monica rushes over to Chandler’s side.	477.77	490.01	145,146,147,148
28	Phoebe walks from the living room to the kitchen and talks quietly to Rachel.	490.49	520.12	148,149,150,151,152,153
29	We see a shot of Jack stuffing his face with food. Some dream hunk!	520.20	521.56	153
30	Time lapse. Ross and Joey are cleaning the table while Judy and Phoebe talk by the window. Jack and Chandler are sitting on the couch while Monica sits on the coffee table.	525.80	542.47	154,155,156,157
31	Chandler and Monica exchange worried looks.	545.43	553.75	158,160
32	Rachel is in the kitchen fiddling with her English trifle. Joey and Ross, anxious to leave and go to Janine’s party, are egging her on to hurry up.	553.75	582.34	160,161,162,163,164,167
33	Joey and Ross make confused faces.	587.46	610.93	168,169,170,172
34	Rachel leaves	614.69	620.17	174
35	Ross goes to look in the magazine Rachel got her recipe from.	620.17	627.49	174
36	Ross looks up as if saying that Joey was weird. He begins flipping through the pages, only to find that they are sticky. So one page is overlapping another, making two recipes look like one.	629.65	672.23	175,176,178,179,180,181,182,183
37	Rachel enters	672.23	681.59	183,184,185,186
39	Phoebe walks over to talk to Rachel.	685.19	694.16	188,189
41	Ross and Judy enter the living room. Judy and Ross sit down on the couch beside Jack. Monica and Chandler are sitting on the coffee table.	699.20	731.39	192,193,195,196,197,198,200
43	Rachel’s old room. It’s pretty much empty except for a few boxes against the walls. Ross and Chandler enter.	731.39	743.91	200,201,202
