scene_id	scene_desc	start	end	shot_ids
14	Monica and Rachel's, the triplets are all in their crib as Monica and Phoebe watch them.	0.16	11.60	1,2
15	A judge’s chambers, Rachel and Ross are filing their annulment papers.	15.60	177.38	4,5,7,9,11,12,13,15,16,17,18,19,20,22,23,25,26,27,28,29,30,31,32,34,35,36,37,39,40,41,42,43,44,45,46,47
16	Monica and Rachel's, Chandler is still doing the hairball thing as Monica and Phoebe are watching the babies. I can’t describe it, you’ll have to see it when it comes on in your area. In one instance, he drinks some water to help it move, which it doesn't.	201.12	291.82	50,51,52,53,54,55,56,57,59,60,61,62,63,64,65,66,67,68,69,70,71,72
17	The street, Joey is hanging out wearing his Porsche grab.	295.18	301.98	73,74
18	Ross and Rachel approach, they’re still yelling at each other.	308.01	381.39	76,77,78,79,80,81,82,83,84,85
19	Monica and Rachel's, Phoebe is being triple teamed.	381.39	389.34	85,86,88
20	Time Lapse, the babies are finally asleep. Good for Phoebe! The only problem is, Monica’s apartment looks like a tornado, a hurricane, a swarm of locusts, fire, brimstone, hail, and giant man-eating, radioactive ants have torn the place apart. Needless to say, it’s messy enough to cause Monica to die of shock right away. Parents with small children know what I’m talking about.	390.22	437.88	89,90,91,92,93,94,95,96,98
21	Monica enters and her jaw drops in horror.	442.69	475.93	101,102,103,104,105,106,108,109,110,112
22	Ross’s apartment, Rachel is packing what she still has over there as Ross enters.	484.33	528.32	116,117,118,119,120,121,122,123,125
23	Pause.	528.48	664.60	125,126,127,128,129,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,149,150,151,152,153,155,156,157
24	They hug.	675.96	678.12	160,161
26	The street, Joey is messing with a car cover and still wearing the Porsche stuff. This guy playing street football catches a pass next to the car cover Joey is fooling around with.	684.28	714.68	161,162,163,164,165,166,167,169,173
