scene_id	scene_desc	start	end	shot_ids
22	He goes to turn off a machine. Suddenly, Dr. Drake Remoray appears at the door with two cops!	2.00	18.48	2,4,5,6
23	Cut back to the TV, the cops are leading Dr. Wesley out, and as they pass Remoray and Wesley exchange evil glances.	28.11	44.91	8,9,10,11,13,14
24	Drake and Hope kiss.	48.91	64.18	14
25	Ross and Carol's, Carol is working on something at the table and Ross is reading a newspaper on the couch.	71.46	130.97	14,15,16,17,18,20,21,22,23,24,25,26,27
26	The hospital, Chandler and Monica are there with Phoebe.	137.69	146.08	29,30,31,32
27	Ross enters	146.16	166.36	32,34,35,36,37,38,39
28	Phoebe mocks what Monica just said. Ross pulls Chandler aside.	166.36	214.39	39,42,43,45,46,47,48,49,50,51,52,53
29	Joey's apartment, (The one he had when he was Dr. Drake Remoray, because he still is.) Rachel is there and admiring the big ceramic fake dog.	221.19	285.94	54,55,56,57,58,59,61,62,63,64,65,66,70
31	Monica and Phoebe's, Monica is pouring wine for her boyfriend, Dr. Roger.	286.90	340.80	70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
32	Ross and Carol's, Ross and Carol are waiting anxiously for their new partner to arrive.	351.20	372.06	85,86,87,88,89,90,91
33	They start moving towards the bedroom, never taking their eyes off each other. They move past Ross and stop.	375.66	383.10	92,93,94
34	They disappear into the bedroom leaving Ross standing in the living room holding Susan’s coat.	387.18	388.38	95
35	Monica and Phoebe's, Chandler and Monica are eating Monica’s dinner.	395.18	501.92	95,96,98,99,100,101,102,103,104,105,106,108,110,111,112,113,114,116,117,118,119,120,121,122,123,126,127,131
36	Joey's apartment, Rachel is now three sheets to the wind and Joey is watching her.	503.52	559.37	132,133,135,136,138,139,140,141,142,143,144,145,146
38	Monica and Phoebe's, continued from earlier. Monica and Chandler are still discussing the previous question.	583.23	649.45	149,150,151,152,153,154,155,157,158,159,160,161,162,163,164,166,168,169,170
39	She turns out the lights and in the darkened room Chandler starts to moan.	655.13	668.33	170
40	Monica’s bedroom, she has just lost her flower to Chandler.	674.73	679.32	171
