scene_id	scene_desc	start	end	shot_ids
1	Central Perk, Rachel, Chandler, Monica, and Joey are there as Phoebe enters.	3.44	102.20	2,3,4,5,6,7,8,9,10,12,13,15,16,18,19,20,21,22,23,24,25,26,28
2	And walks up right behind Ross, and standard sitcom joke 2B follows with the person being insulted standing right behind the person doing the insulting while the rest of the people become frightened and try to warn the insulter about the insultee’s presence.	102.60	119.48	28,30,31,32,33
3	Paul reveals his presence by laughing, thus concluding standard sitcom joke 2B. Paul then pulls Ross aside to have a little chat with him and tells the rest of the group that he’ll just be one second.	131.62	169.65	37,39,40,41,42,43,44,45,46,47
5	A Dry Cleaners, Joey is there with Phoebe and is trying to get his picture put back amongst the other celebrities hanging on the walls.	210.67	249.89	75,76,77,78,79,80,81
6	The dry cleaner finishes with the customer in front of Joey and they approach the counter.	250.45	290.67	81,82,83,84,85,87,88,89,90,91
8	The Morgan Chase Museum, the girls are entering.	298.99	325.09	94,95,96,97,98,99
9	A museum official enters with another man and woman.	325.09	401.32	99,100,101,102,103,104,105,106,107,108,110,111,112,113,114,115,117,118
10	The Dry Cleaners, Joey is trying to get his picture up again.	403.80	447.64	120,121,122,123,124,125,126,127,128,129,130
12	A Cabin in the Woods, Elizabeth is giving Ross a tour.	454.04	472.53	131,133,134
13	They fall to the couch and start to make out, but Ross stops suddenly.	477.89	502.83	136,137,138,139,140
14	They start making out again.	506.83	563.44	141,143,144,145,146,147,148,149,150,153
15	Elizabeth leaves and Ross starts to remove his clothing right there in the middle of the living room where someone can see him. Of course, someone almost does, but he hears a door opening and…	563.44	566.36	153,154
16	Ross with his pants around his ankles tries to run, but Dr. Geller forgets that he has his pants around his ankles and falls down trying to flee.	566.60	570.36	154
18	Monica, Chandler, and Phoebe's, Chandler is reading the newspaper.	574.68	591.06	155,156,157,158
19	The phone rings. Chandler lets the answering machine get it.	591.06	615.64	158,159,161,163,164
20	Paul’s Cabin, Paul and Rachel are sitting on the couch drinking wine and talking.	621.00	672.73	164,165,166,167,168,169,170,171,172,173,174,175,176
