scene_id	scene_desc	start	end	shot_ids
42	Central Perk, Chandler is looking out the window and Joey is sitting on the couch.	0.48	10.88	1,2,3
43	We hear the backup horn of a truck and see through the window that the Mr. Beaumont has arrived.	13.68	23.00	5,7
44	Monica’s Restaurant’s kitchen, she’s cooking as a waitress sticks her head in.	23.00	29.59	7,8,9,10
45	The customer turns out to be…	30.47	166.73	10,11,12,13,14,15,16,17,18,19,20,21,22,24,25,26,27,28,29,30,31,32,33,34,35,36
46	Central Perk, Rachel is bringing Phoebe some coffee.	171.69	197.69	38,39,40,41,42,43,44,45
47	They both take a drink of coffee.	203.29	215.46	45,46,47,48
48	Joey enters looking like Captain Stubing from the Love Boat.	219.94	232.50	49,51,52
49	A Pizza Joint, Chandler and Monica are eating lunch.	242.35	315.47	53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
50	She gets up and storms out. The people at the other tables are staring at Chandler.	315.47	316.31	67
51	Central Perk, Phoebe and Rachel are still talking.	322.95	385.51	67,68,69,70,71,72,73,74,75,76,77,78,80,81,83,84,85
52	Joey and Rachel's, Joey, still looking like Captain Stubing, is practicing his slipknots as Monica enters.	394.39	490.78	87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,110,111,112,113
53	Ross's apartment, Ross is watching a show about the extinction of the dinosaurs.	497.74	503.02	115,116,117
54	There’s a knock on the door, he shuts the TV off, and answers it.	511.44	590.56	119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134
55	Monica, Chandler, and Phoebe's; Joey, still looking like Captain Stubing, is on the phone.	590.88	650.80	134,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,153,154,155
56	Richard’s Apartment, he’s smoking a cigar and reading a book as there is a knock on the door. He gets up and opens the door to reveal…	666.40	677.37	158,159,160,161
