scene_id	scene_desc	start	end	shot_ids
1	Central Perk. Everyone is there, except Rachel, quietly reading something except Chandler..	1.84	3.20	2
39	She turns out the lights and in the darkened room Chandler starts to moan.	5.12	8.80	2
40	Monica’s bedroom, she has just lost her flower to Chandler.	9.52	25.54	2,3
41	Joey's apartment, the next morning, Rachel is passed out on the couch.	26.41	130.21	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
42	Phoebe’s hospital room, Joey and Ross enter as Phoebe comes out of the bathroom wearing her robe.	136.69	156.19	34,35,36,37,38
43	She goes out into the hall and when she’s there and the door is closed; she rips off her robe to reveal her work clothes.	156.99	168.04	38,40
44	Cut back to her room, Joey and Ross are sitting there waiting for her.	168.04	232.64	40,41,42,43,44,45,46,47,48,50
45	They both laugh.	232.72	275.35	50,51,52,53,54,55,56,57,58,59,60,61
46	Monica and Phoebe's, Monica is making a sandwich as Chandler enters.	279.99	339.58	63,65,66,67,68,69,70,71,72,73,74,75,76,78,79
47	Rachel and Barry’s bedroom, Rachel is returning from her disastrous attempt at an affair to find that Barry was much, much more successful with his.	349.10	361.27	81,84,85
48	Phoebe’s office, she is arriving without the knowledge that she’s been fired.	367.91	455.35	87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112
49	Central Perk, Ross is there as Rachel storms in.	460.07	602.45	113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,129,130,131,132,134,135,136,137,138,140,141,142,143,145,146
50	Monica and Phoebe's, Monica is blowing out a candle as Chandler enters.	608.93	671.37	147,148,149,150,151,152,153,154,155,156,157,159,160,161,162
51	Monica runs over and kisses him.	680.02	686.02	163,164,165,166
53	Central Perk, Phoebe is singing a new song as the gang looks on.	691.94	718.24	167,172
